# FILE DATA
ID : MDRW2100031654
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 이번에 전독시 독자 실사 피규어도 너무 퀄리티 좋지 않았나요 저는 진짜 감탄했어요
P1 	: 실사피규어도 진짜 비주얼 놀라울 정도였죠!
P1 	: 리미티드 버전인 10개 그게 제일 충격적이었고
P1 	: 이번에 펀딩을 했던 그 피규어도 상당한 퀄리티였던 것 같아요
P0 	: 리미티드가 수제작 하는거고 펀딩은 이제 공장복제라고 들었는데 펀딩버전도 낮은 퀄리티가 아니더라구요..
P0 	: 전독시는 진짜 팬 관리를 잘한다고 생각하는게
P0 	: 해주는게 많아요ㅠㅠ
P0 	: 표지도 자주바뀌고..
P1 	: 전독시가 팬 관리를 잘 해주는 편 인가요?
P1 	: 제가 이쪽으로 이렇게 덕질해보는게 거의 처음이라 좋은 편인지 나쁜편인지 기준이 없었거든요
P0 	: 흡... 이정도면 좋다고 생각해요..
P0 	: 반대로 내스급은 여전히 표지 변화가 없어서 아쉽다구 느끼구..
P1 	: 아.. 맞아요.. 스급은 표지에 큰 변화가 없죠
P1 	: 오히려 내스급이 팬관리면에선 작가님이 굉장히 잘 관리해주신다고 생각해요
P1 	: 근서님.. 쉬시는게 맞을까요?
P1 	: 휴재중에 게임 만들어서 올려주시는 작가님은 정말처음 봤어요
P0 	: 아~! 그거 봤어요! 미니 게임 같은거 만들어주셨다구
P0 	: 그런 점에서도 근서 작가님 진짜 대단해요...
P0 	: 작품에 대한 애정이 높다고 느끼고
P1 	: 그쵸!
P1 	: 작가님 본업이 상당히 궁금해진달까요
P1 	: 사실 휴재하시는동안 웹툰 직접 그리고 계셨던건 아닐까하는 합리적 의심도 든답니다
P0 	: 헤엑 웹툰도 직접 그리신다구요???
P1 	: 아니아니요 ㅋㅋㅋ 저의 상상이에요
P1 	: 작가님께서 설마 웹툰까지 직접 그리...시진 않겠죠?
P0 	: 설마요... 그랬다가 과로사 하실지도 몰라요 평일 저녁 8시 연재하시는 것도 대단한걸요
P1 	: 그나마도 날짜를 줄이신건데 매번 성실연재하시는거 대단한것 같아요!
P1 	: 연재도 하시면서 짬짬이 책도 보시고
P1 	: 운동도하시고
P1 	: 게임도 만드시고
P1 	: 본업이 또 따로 있으시다고 하던데
P1 	: 이렇게 열심히 사는 분은... 정말... 대단하다는 말 이외엔 표현 할 길이 없어요
P0 	: 맞아요... 본업이 직장인이시라고...
P0 	: 이게 부업이라는게 안믿겨요...
P1 	: 진짜 존경스러워요
