# FILE DATA
ID : MDRW2100030336
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 농림/어업/임업 종사자
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 진짜...ㅠㅠ
P1 	: 그리고 저 미우보면서 감탄했던게
P1 	: 많기는 하지만 그중에 하나가
P1 	: 마지막에 감전 나오는 타이밍이 너무
P1 	: ㅠㅠㅠㅠㅠ
P0 	: 헐헐!!! 맞아요!!!!! 전 근데 그 이부키 스승 에피만큼은
P0 	: 레몬이 좀 더...
P0 	: 생각났어요..
P1 	: 맞아요 그 레몬 편집한 영상
P1 	: 아마 찾으면 나올거에요
P1 	: 그거 진짜 좋아요...
P0 	: 헐 유튜브에 치면 나오나요?!?@?!???!?
P0 	: 지금 쳐보고 오겠슴다!
P1 	: 유튜브는 아니고 트위터에서 찾았던거같은데 키워드가 기억이 잘 안나네요ㅠㅠㅠ
P1 	: 이거 링크 보내지나
P1 	: {share:info}
P0 	: 흐악 복사가 안 돼요
P0 	: 쳐서 보고 오겠습니닷!
P0 	: ㅎ.ㅎ 아쌈
P0 	: 아싸!
P1 	: ㅠㅠㅠㅠㅠ아니 복사가 안된다니 8화 엔딩 레몬
P1 	: 이라고 검색하시면
P1 	: 어떤분이 엉디 까고 날라오는 영상이랑 같이 찾는트윗올린더있는데
P1 	: 그거타래에 있어요!!!
P0 	: 아니!!!!! 짱웃기네 저 방금 그 엉디 까는게 대체 뭐지
P0 	: 하면서 슉슉 내리고 있다가
P0 	: 별안간 엉덩이를 봤네요...
P0 	: 보고 오겠습다!
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 별안간 날라오는 엉디...다녀오세용!!
P0 	: ㅜ.ㅜ 또 주책맞게 눈물
P0 	: 한 방울 흘리고 왔어요
P0 	: ㅠㅠ.ㅠㅠ
P1 	: ...ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P1 	: 아 저두 본김에 다시보고왔는데
P1 	: 소레데모아나타와와타시노히카리할때
P1 	: 둘이 손잡는 부분인거
P1 	: 너무......
P0 	: .  ... .. .. 고소감이라고 생각합니더
P1 	: 타이밍...최고네요....
P1 	: ㅠㅠㅠㅠㅠㅠ고소감222222ㅠㅠㅠㅠㅠ
