# FILE DATA
ID : MDRW2100030496
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>형제자매
intimacy  :  4
contact_frequency  :  주 3회 이상

P1 	: 문희준이 거의 다만듦
P0 	: 화장도진하고
P0 	: 세기말감성이좀
P0 	: 과했지
P0 	: 하지만세기초도 만만치않지
P0 	: 이미오고있던데
P0 	: 태연서타일이쁘더라
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ사이버라면이라고 있더라구
P0 	: 나도사고싶어
P1 	: 난 핑크알러지있서
P0 	: 그런 티네이저하이틴서타일
P0 	: 옷
P0 	: 와
P0 	: 남자는
P0 	: 핑크지
P0 	: 갤럭시놋북살때 핑크로삼
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 근데 사실 칼라보단 무채색이
P1 	: 조와
P0 	: 난퍼스널칼라가
P0 	: 회끼들어가지만
P0 	: 채도가있어야한대서
P1 	: 쨍한 컬러는 악세사리로 족해
P0 	: 무채식회색은 안색이죽는대
P1 	: 나도받아보까
P1 	: 아항
P0 	: 옷은 다 채도있는거 사야함
P0 	: 그래서 네이비삼
P0 	: ㅋㅋㄱㅋㅋㅋㅋㅋ
