# FILE DATA
ID : MDRW2100025682
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: ㅣ금 다시 볼용기는없어서
P1 	: 라이브클립으로...
P1 	: 오 노래가 되게 음산한느낌.....?
P0 	: 아 그거? 저승사자 복장 라이브?
P1 	: ㅇㅇㅇㅇㅇ
P1 	: 그거봐써
P1 	: 저승사자 복장이
P1 	: 특이한듯
P0 	: 저승사자 복장 그거
P0 	: 집에 도포랑 갓이 있어서 한거라던데...
P0 	: 그게 집에 있기 쉽지 않은데...
P1 	: ㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋ
P1 	: 아닠ㅋㅋㅋㄱ 집에 도포랑 갓이요...?
P1 	: 그것도 까만색....?
P0 	: 그렇다던데요...?
P0 	: 렌탈소품 아니고 진짜 안예은거라고...
P1 	: 헐ㅋㅋㄱㅋㄱㅋㅋㄱ
P1 	: 그런게있는게 신기함
P0 	: 본인이 오타쿠 성향이라 그런지..
P0 	: 조정석 찍덕이었다며....
P1 	: ㅇㅇㅇ ㅋㅋㅋㅋ
P1 	: 엌ㅋㅋㅋㅋㅋㅋㄱ
P1 	: 진짜??첨들먹ㅋㅋㄱㅋㄱㅋㅋ
P0 	: 저승사자옷이랑 찍덕은 좀 결이 다르긴 하지만..
P0 	: 저번주 유스케 나와서
P0 	: 말하더라고여
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㄱ
P0 	: 관상으로 입덕해서
P1 	: 뽀를 좋아하셨군
P0 	: 경기권까진 대포 들고 다 돌았다고
P1 	: 아 조정석을좋아하셨군
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋ
P1 	: 뽀시절은 아니었군
P0 	: 진짜로 조아하는 것 같더라ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 유희열이 조정석 얘기 꺼내니까
P0 	: (약간 계타는 식의 얘기였음
