# FILE DATA
ID : MDRW2100032117
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 카페 왔는데 고양이 있어
P1 	: 귀여워?
P1 	: 사랑스러워??
P0 	: 아닝
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 나한테 안왔으면 좋겠는데
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ동물 안 좋아하는구나
P0 	: 아니지 근데
P0 	: 그래
P0 	: 동물은 공존의 대상이라고 생각해
P0 	: 서로 터치안하고 굳이 데려다 키워야하는 의미는 모르겠어
P0 	: 약육강식으로 잡아먹는거면 모를까
P0 	: 인간같은 생명체는 없자나 귀엽다고 기르는
P1 	: 뭐 데려다키우는 것도 공존 중에 한가지 방법이니까
P1 	: 나름 상리공생 중에 한가지 방법 아닐까 싶기도 해
P0 	: 나는 잘모르겠어 인간이 얻는게 행복감 뿐이잖아
P0 	: 집을 지켜라 차라리 이거면 이해가 되는데
P1 	: 행복감은 엄청난거지
P1 	: 사실 모든게 행복하기 위함이잖아
P0 	: 아니지 행복이 뭐라고
P0 	: 생명체까지 침범해
P0 	: 그러니까 아이낳고 강아지 유기하지
P1 	: 그건 그 사람들이 잘 못된거지
P1 	: 반려 동물도 안정감을 얻고 사람도 안정감을 얻는 경우도 굉장히 많잖아
P1 	: 유기를 막기 위해 반려동물 등록 의무화도 불과 몇년 전에 시행됐고 뭔가 방법들이 계속 나오지 않을까?
P0 	: 그치 그게 다 동물을 키우겠다는 인간의 욕심에서 생긴 거라고 생각해
P0 	: 내가 강아지라고 생각한다면 난 누군가한테 복종하면서 사는 삶에 회의감이 있을 것 같아 물론 모르겠지 그치만 알수있다면? 그렇게 복종하고 버림받고
P1 	: 어려운 문제지만 사실 이제는 어쩔 수 없기도 할걸
P0 	: 그 도라에몽에도 나오는데
P0 	: 날왜키웠냐고
P1 	: 이미 애완종은 사냥능력도 상실해서 들개처럼 살아갈 수도 없고
P0 	: 극장판 있어 뭐지 동물이 인간보다 뛰어난삶을 사는 편
P0 	: 고양이 강아지 왕국이고 인간 싫어해
P1 	: 그럴수도 있지
P1 	: 알 수 없는 부분이니까 우리가
P0 	: 그니까 인간이 잘못한거지 조상부터 지금 분단된것도 인간 과거의 잘못이고 그런것처럼
P1 	: 하지만 우린 지금을 살아갈 수 밖에 없으니까
P1 	: 현재에서 최선의 방법을 찾아야지 뭐
P0 	: 지금부터라도 개입을 덜해야지 동물 종별로 차별하지말구
P0 	: 그치만 그렇게 안되겠지 그런점에서 난 인간보다 호랑이가 좋아
P1 	: 그치 불가능한 부분이지
P0 	: 그냥 삶을 살뿐이니까 호랑이는 그 누구의 삶을 고의로 해치고 자신의 행복을 위해 악행을 저지르지 않지
