# FILE DATA
ID : MDRW2100003582
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 최근에 구매한 물건이 있나요?
P1 	: 저 얼마전에 파자마 샀어요!
P0 	: 우와 파자마 어디서 사셨어요?
P1 	: 잠옷 잘 챙겨 입으면 기분이 좋더라구요
P0 	: 전 무신사에서 로퍼 샀어요 ㅋㅋ
P1 	: 자주에서 구입했어요
P0 	: 맞아요 잠옷이 귀여우면 잘때 기분 좋아요
P1 	: 저도 무신사 자주 이용해요
P0 	: 오 자주거 좋은데 !!
P1 	: 처음엔 잠옷에 몇만원 쓰기 망설여졌었는데 한두벌 사다보니까 계속 사게 되네요ㅎㅎ
P1 	: 구매한 로퍼는 어때요?
P0 	: 저도 잠옷 이번에 자주에서 사봐야겠어요
P0 	: 로퍼는 그냥 기본로퍼에요!
P0 	: 근데 조금 커요 ㅠㅠ
P1 	: 아 온라인 쇼핑하면 사이즈 미스나는 일이 많아서 아쉬워요
P0 	: 그러니까요
P1 	: 교환하기에는 배송비때문에 좀 구렇구..
P0 	: 신발은 신어보고 사야하나봐요
P0 	: 물론 옷도 입어보고 사야하지만..ㅋ큐ㅠㅠ
P0 	: 배송비 5000원 너무 아까워요
P0 	: 교환하면 5000원 ㅠㅠ
P1 	: 맞아요ㅠㅠ 저도 얼마전 무신사에서 산 운동화가 좀 큰데 그냥 신고 있어요
P1 	: 무신사에서 20퍼 할인 쿠폰 뿌려서 좋더라구요
P0 	: 아 20퍼 쿠폰 뿌렷나요??
P0 	: 아 맞다 뿌렸다
P0 	: 그래서 개이득하면서 샀던거 기억나네요 ㅋㅋㅋㅋ
P1 	: 근데 이번 달이 마지막이래요ㅠㅠ
P1 	: 쿠폰 없이 사면 왠지 손해보는 느낌...아쉬워요
P0 	: 아 진짜
P0 	: 너무 아쉽네요
