# FILE DATA
ID : MDRW2100021307
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  3
contact_frequency  :  주 3회 이상

P1 	: 티원은 10000명넘고
P1 	: 담원 겨우2000명임
P0 	: 담원은
P0 	: 역사가 짧아서 그런가
P0 	: 페이커 하나 존재만으로
P0 	: 압도적이긴하네
P1 	: 칸이랑 바텀듀오
P1 	: 인성논란으로
P1 	: 팬떠난것도많고
P0 	: 칸 인성은 원래 유명햇지 ㅋㅋㅋ
P0 	: 게임하다 패드립하고
P1 	: ㅇㅇㅇ그거땜에 그럴수도
P1 	: 시작한다
P0 	: 이번 바텀듀오가
P0 	: 룰루 비하인가?
P1 	: ㅇㅇㅇ
P1 	: 고스트베릴
P1 	: 순당무
P1 	: 쇼메 라이즈선픽보소
P1 	: 둘다 미드선픽이네
P0 	: 오 이번엔
P0 	: 미드는 노잼일듯
P1 	: 카밀 그웬 라이즈 아지르
P1 	: 재밌겄노
P0 	: 그웬 나옴?
P1 	: ㅇㅇ
P0 	: 음 정석픽만나왓네
P1 	: 그웬 비에고 아지르 이즈 레오나
P1 	: 카밀 트런들 라이즈 애쉬 브라움
P1 	: 정석이네 둘다 그냥
P0 	: 시작한다 이제
P0 	: 벌써 결승인게 신기하네 ㅋㅋ
