# FILE DATA
ID : MDRW2100042735
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 아 뭐 보면서 하면 낫겟네요
P0 	: 글고 마늘 많이까면 손이랑 눈이 맵지않나요
P1 	: 아예 그냥 자리를 잡습니다.
P1 	: 니트릴 장갑 끼고 해요
P0 	: 장갑ㅋㅋㅋㅋㅋ
P0 	: 마늘까기 공장장의 마음으로 하시는군요
P1 	: 코스트코에 손가락 사이즈별로 파는 회색 니트릴 장갑을 사서
P1 	: 그거 은근 쓸모가 좋아요 ㅎㅎ
P1 	: 손에 딱 맞으니까 마늘을 깝니다.
P0 	: 저도 사야겟어요 장갑낄 생각을 못햇네요
P0 	: 비닐장갑같은걸론 엄두를 못냇거든요
P1 	: 작은 칼과 니트릴장갑과 그릇 두 개와 모니터 한 개
P1 	: 아 마늘 ㅎ
P1 	: 알리오 올리오 하기 무서운 데는 다 이유가 있죠 ㅋㅋ
P1 	: 마늘이 순식간에 사라져서 ㅋㅋ
P0 	: 맞아요
P0 	: 열심히 깐 마늘 순식간에 증발..
P1 	: 여름엔 다 빻아서 큐브로 얼려놓고 쓰거든요.
P1 	: 아직은 모부가 하시지만 햇마늘은 거의 제가 까는데
P1 	: 아오 마늘 깔 땐 인 트리트먼트 시즌3을 봅니다.
P1 	: 비닐장갑 너무 위험하죠 ㄷㄷ
P0 	: 맞아요 빻는것도 진짜귀찮아요
P0 	: 그 마늘 빻는 요리기구 보셧나요? 한 알씩 다지게 해주는게 잇더라구요
P1 	: 대고 누르는 거요?
P1 	: 부메랑처럼 생긴 건가요
P0 	: 그 한알씩 넣고 누르는 건데 되게 편해보엿어요!
P0 	: 설거지는 귀찮겟지만..
P1 	: 오오 찾아봐야겠어요 .. 저는 그 때 그 때 막자 사발에 했거든요.
