# FILE DATA
ID : MDRW2100014696
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 충남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 시장에서 사는 꽃이라 가격도 저렴하고 신문지에 척 싸주시는 거 받아 가져옴 뭔가 드라마 주인공이 된 기분도 들고요
P1 	: 그러게요 꽃 살 생각은 한 번도 못해봤네요
P1 	: 그것도 한 번 해봐야겠어요
P1 	: 로맨틱한 여행으로 바뀔 것 같아요 여행 중에 피곤하거나 지칠 때 기분전환도 되고요
P1 	: 현지음식 잘 드시나요?
P0 	: 저는 못 먹어도 일단 도전하는 편이에요, 어떠세요? 그래도 한끼는 한식 한 번 먹는다? 아니면 현지식 중심으로 드시나요
P1 	: 저도 도전은 해보는데 여행기간이 길면 한식 그리워져요
P1 	: 혹시나해서 꼭 볶음고추장 가져가요
P1 	: 어떤 곳은 괜찮은데 어떤 곳은 전혀 입맛에 안 맞기도 해서요
P1 	: 주로 현지식이지만 한두번은 한식당 가요
P0 	: 아~ 하긴 저도 한식당을 가진 않지만 ㅎㅎㅎ 대신 빵을 사먹네요
P0 	: 그러고보니 일본 갔을 때 고생 엄청한 기억이 있어요
P0 	: 일본 음식이 왜 그렇게 달고 짠지 당췌 못 먹겠더라구요,
P1 	: 그렇군요 부모님만 일본 가보셨는데 양이 작아서 힘들었다는 이야기가 기억나요
P1 	: 양이 적어서 힘들었다고 그래서 한식당 자주 가셨나봐요
P1 	: 달고 짠 건 쉽지 않죠
P1 	: 저는 고추장을 꼭 지니고 일본에 가야겠군요
P0 	: 강추합니다. 고춧가루도 좋구요 ㅎㅎ
P0 	: 맵게만 할 수 있다면 염도는 물을 넣음 되니까요
P1 	: 역시 좋은 아이디어인 것 같아요!
P0 	: 대만 혹시 가보셨어요?
P1 	: 대만은 아직 못가봤어요
P1 	: 대만엔 어떤 좋은 것들이 있나요? 눈 반짝반짝
P0 	: 아 그럼 저는 일본 보다 대만 권하고 싶어요^^
P0 	: 일본이랑 대만이 굉장히 비슷하면서 음식이 제겐 더 입맛에 맞았거든요
P0 	: 그리고 ㅎㅎㅎ 고궁박물관도 좋았구요. 제가 무협팬이라
P0 	: 대만도 온천, 먹거리 발달해서 일본에서 즐길 만 한 것들 비슷하게 즐길 수 있고, 아리산이라고 해발 3000미터 넘는 산이 대만 중부 지역에 있는데 거기까지 고산열차가 올라가요
P0 	: 제가 갔을 땐 태풍으로 구간 보수 중이라 산 위에서만 기차를 탔는데 지금은 아마 산아래부터 올라갈 건데요
P0 	: 차밭을 지나 하늘 위로 올라가는 경험을 할 수 있어요
P1 	: 멋지겠는데요!
P0 	: 동쪽으로 가면 태평양 펼쳐지는 해안도로도 있으니 혹시 여행 계획 짤 때 후보에 한 번 담아보셔요~
P1 	: 대만도 위시에 넣었네요 추천하신 곳 다 멋질 것 같아요
P1 	: 대만의 아말피인가요!
P0 	: 아말피는 어딘가요?
P1 	: 이탈리아요 항공회사 광고에 나왔던 해안도로요
P0 	: 아~~
