# FILE DATA
ID : MDRW2100003573
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 반려동물 키우세요?
P1 	: 네 햄스터 키우고 있어요
P0 	: 우와 몇살이에요?
P0 	: 골든햄스터에요?
P1 	: 네 골든햄스터예요
P1 	: 2개월밖에 안됐어요
P1 	: 데려온지 일주일도 안돼서 ㅋㅋ
P0 	: 헉 대박 ! 진짜 골든햄스터 !!
P0 	: 저는 강아지 키워요
P0 	: 16살 입니다 ㅎㅎㅎㅎ
P1 	: 와 강아지 나이가 많네요
P1 	: 오래 건강하게 키우셨나봐요
P0 	: 애기가 시고르자브종이라
P0 	: 튼튼해요 ㅋㅋ!!
P0 	: 햄스터는 사료로 뭘 먹나요?
P1 	: 햄스터 전용 사료가 있는데
P1 	: 거기 알곡들이랑 해바라기씨 같은게 들어있어요
P1 	: 밀웜도 좋아해요
P0 	: 우와 밀웜 !!!
P0 	: 햄스터는 야행성이라
P0 	: 밤에 시끄럽진않나요?
P1 	: 다른 방에 두고 키우는 편이라 괜찮더라구요
P1 	: 딱히 우는것도 아니고 쳇바퀴 소리정도?
P1 	: 그것도 심한게 아니라서
P0 	: 아 쳇바퀴소리만 나는군요
P0 	: 무슨색이에요?
P0 	: 햄스터도 색이 엄청 다양하던데!
P1 	: 약간 회색흰색 섞인 색이에요!
P1 	: 헤테르그레이라고
P0 	: 우와 검색해볼게요
P0 	: 귀엽겠다 ㅠㅠ
P1 	: 완전 귀여워요!!
