# FILE DATA
ID : MDRW2100028073
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 넹ㅋㅋㅋㅋ 저 사실 눈물의 출근중..
P1 	: 슬프니까 카페가서 캐이크도 먹을거애여...
P0 	: 아..ㅠㅠ
P0 	: 무슨 케이크 먹었는지 알려주시기예요!!(꼭그랑
P1 	: 힝 사랑해 &name1&님은천사야
P1 	: 밀크티에 딸기레어치즈케이크 조집니다..!
P0 	: ㅇㅁㅇ! 투썸 가셨군요!
P0 	: 투썸 딸기레어치즈케이크 맛있나요??
P1 	: 저 이제 투썸 직원분이 우산도 빌려줘요..짱친직전
P0 	: ㅋㅋㅋㅋㅋ 단골파워
P1 	: 새콤딸기랑 달달치즈조합이에요!
P0 	: 오 맛있겠네요
P1 	: 밀크티랑 같이먹으면 딸기밀크티먹는거같아서
P0 	: 다음에 먹어봐야겠어요!
P1 	: 기분이조아지죠
P1 	: ㅋㅋㅋㅋ넹 &name2&추천케이꾸~~~
P0 	: 헉 진짜 짱이네요
P1 	: 완전짱이쥬 요즘 딸기 꽂혀가지구
P1 	: 맨날 딸기우유딸기케이크딸기밀크티생딸기우유 이런거먹어요..
P0 	: 아고 아직 딸기 시즌은 멀었는데ㅠㅠㅠㅠ
P0 	: 딸기 마쉿죠...
P1 	: 꼭 딸기는 여름에 먹고싶구 가지는 겨울에 먹고싶구.. 청개구리입맛
P1 	: &name1&님은 요즘 뭐 좋아하세용??
P0 	: 요즘은 초코음료 먹고있어요!
P0 	: 근처 카페들 초코음료 하나씩 맛보고있는데
P0 	: 공차 초코스무디가 맛있더라구요
P1 	: 초코는 정말 짱이에오..
P1 	: 초콜릿 젤처음개발한사람 상줘야해
P1 	: 오 공차 초코스무디..종류가많네요
P0 	: 맞아요 진짜 위대한 발명이에요
P0 	: 에어컨과 더불어 인류를 구한 발명
P1 	: 투썸은 이상하게 초코메뉴가 맛이없드라구오
P1 	: 담에 초코땡기면 공차가야겟어용..
P0 	: 공차는 초코에 치즈 섞어먹으면 맛있어요
P0 	: 초코바른 초코스무디가 냠픽이에요!
P1 	: 초코바른..초코스무디...메모...
P0 	: 벽에 초코 녹은걸 발라줘서
P0 	: 뿌셔서 먹는 재미가 있어요
P1 	: 오 되게 귀엽겟당..뽀쟉뽀쟉 초코 부셔먹기
P0 	: 근데 이제 큰 조각들은 빨대로 눌러서 더 뿌셔야하는거죠
P1 	: 앗... 저 맨날 그런거하다 컵 엎는데....
P0 	: 아앗... 그정도는 아닐거예요..?
P0 	: 되게 잘 부서져요
P0 	: 조각도 마지막에 얼음 먹듯이 먹을 수 있어요
P1 	: ㅋㅋㅋㅋ담에 공차가면 제가 꼭
P1 	: 시도해볼게요
P1 	: 안엎고 초코 끝까지먹기
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 응원합니다!
