# FILE DATA
ID : MDRW2100041444
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋㅋ아 몽자 너무 사람같아요!! 그 가끔 한심하다는(?)표정이 너무 좋아요ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋ약간 경멸하는듯한 그 표정도 너무 웃겨요
P0 	: 몽자는 전생에 사람이었겠죠?ㅋㅋㅋ
P1 	: ㅌㅌㅌㅌㅋㅋㅋㅋㅋ
P1 	: 맞아요 정말 경멸 그 자체의 눈빛ㅋㅋㅋㅋ
P1 	: &name1&님 오늘 뭐 보신거 있나요? 전 방금 알고리즘에 떠서
P1 	: 흔한 고3의 칠판낙서를 봤는데
P1 	: 대박이네요..... 완전 광기 그 자체ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 왜요 어떤거였어요?
P1 	: 유튜브에 칠판 낙서라고 치면 나와요!!
P1 	: 제목이 흔한 고3의 칠판낙서예요
P1 	: 넘 귀여워요ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 지금은 못보고 이따가 꼭 볼게요!ㅋㅋㅋㅋㅋ
P0 	: &name2&님 굿플레이스라고 아세요?
P0 	: 넷플에 있어요
P1 	: 오 알아요!!
P1 	: 옛날에 봣던것같은데 시즌이 있는 거였나요??
P0 	: 네네 맞아요 그거 재밌다고 해서 볼까 생각중이에요
P0 	: 재맸으셨어요?
P1 	: 넵 아마 시즌1만 본 것 같은데 되게 참신했어요
P1 	: 근데 뒤로갈수록은.... 그렇게 재밌진 않았던 것 같아요
P0 	: 아잇 그럼 저도 시즌 1만 볼래요ㅋㅋㅋㅋㅋ
P0 	: &name2&님 시리즈물 잘 보세요?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래욥ㅎㅎ!!!
P1 	: 아 혹시 &name2&님이 저랑 클라우스 얘기하신 분인가요??
P0 	: 맞습니다~~
P1 	: ㅌㅋㅋㅋㅋㅋ저 클라우스 까먹고 있었다가 주변에 오늘 추천하고 다녔어요
P0 	: ㅋㅋㅋㅋㅋㅋㅋ 명작이죠 기억이 안나서 그렇지 알면 찬양할수밖에 없는!
