# FILE DATA
ID : MDRW2100024281
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P0 	: 근데 오타쿠는 참을 수 없는 그 무언가를 자극하는 그게 잇다고...
P0 	: 웹툰화 도대체 언제 하시지
P1 	: 진짜로...
P0 	: 진짜로 완결내고 하실셈인가
P1 	: 2차붐올텐데...
P1 	: 안보던 사람들도 열ㄹ라 먹을텐데.....
P1 	: 근데....그래도 되나 하는 생각은 들어
P1 	: 완결...아직한참남지않았니
P1 	: 연재도 되게 오래하시지 않았나
P0 	: 20....18년?
P1 	: 3년......왠지 2년은 더 기다려야 할 것 같은
P0 	: 근데 뭔가 완결각이 보여!
P0 	: 라고 하기에는
P1 	: 어떻게 그때까지 기다리지헐
P1 	: 대박대박
P1 	: 응
P1 	: (시무룩
P0 	: 극이...그렇게 진행 되지는 않았지
P0 	: ㅎ...
P1 	: ㅎ...
P0 	: 뭐라고 해야하지
P0 	: 근데 각이 보이긴하거든
P1 	: 그...래?(뭐지?
P0 	: 지금 막 시스템이랑 어쩌구해서 한달 버티면 된대
P1 	: 그...작중에서 인물들이 버티면 되는거지? 뭐지....
P0 	: 근데 2018년부터 연재를 했잖아
P1 	: 응ㅇ응응
P0 	: 지금까지의 분량ㅇ
P0 	: 4월부터 그 다음해 1월을 진행하고 있는 것으로...추측이 되거든요?
P1 	: 허엉...............응응
P0 	: 4년동안...
P1 	: ... . . .. .
P1 	: 아니....뭐가이렇게지난하지
P1 	: 그..그럴수잇어 그럴수있긴한데
P1 	: ㅋㅋ ㅋ ㅋ .......(ㅎ
P1 	: 로미오와줄리엣 못지않네...
P0 	: 한유진은 본지 한달도 안된 아저씨랑 지금 짱친 먹은거임
P0 	: 아니 한달이래
P1 	: ㅋ 개웃겨진짜
P0 	: 일년밖에 안된 아저씨
P1 	: 괜히메이저아니었네
P0 	: ㅋㅋㅋㅋㅋ
P1 	: 운명이맞네
P0 	: 일년두 안된 아저씨...
P1 	: 일년사귀었는데 어?....그정도면 사랑을해야하는게맞네
P1 	: (ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ젠자앙...
P0 	: 반년 사겻어...
P0 	: 대충 사이 좋아지기 시작한걸로 치면.ㅡㅡ
P0 	: 음...
P0 	: 150일 기념하셧을듯..ㅡ
P1 	: 와....근데 진짜 생각보다 타임라인이 더 조그맣다 나는 읽다 말았지만 유진이가 정말 많은 일들을 했다고 생각했는데....
P1 	: ㅋㅋㅋ ㅋ ㅋㅋ ㅋ ㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 정말 놀랍지 않나요?
