# FILE DATA
ID : MDRW2100019361
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 경영/관리직
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 치킨머루 사장이 기억을해
P0 	: 달에 2번은 4마리 사가니까ㅋㅋㅋㅋ
P1 	: 아ㅜ그거 뭔지알지
P1 	: 동생 신포닭강정에 꽂혀서 거의 달마다 시켜먹는바람에 배민에 단골고객님!!이라고 댓글 달아주심
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 나는 전화걸면 알아.. 메뉴도 같고 요청사항도 있어서 ㅋㅋㅋㅋ 바짝 익혀주세요 ㅋㅋㅋ
P0 	: 오븐에 구운것도 바짝 익혀야해 ㅋㅋㅋㅋㅋ3
P1 	: 하 치킨얘기하니까 치킨땡기네
P1 	: 비릴까봐.....읭??? 나쁜말 안했는데 8ㅁ8
P1 	: 암튼 비릴까봐 걱정하며 먹었는데 갠춘
P0 	: 주말에 치킨!!!!!!!
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 나도 언제 사가야겠당
P1 	: 저번에는 엄마가 티비보다 60계치킨 광고보고 갑자기 치킨시킬래 해서 먹었어ㅋㅋㅋ
P0 	: 60계치킨은 요즘 뜨는 가게인거같아
P0 	: 우리동네에 없어서 문제지만
P1 	: 아 이번에 고성가서 돈까스 먹었어
P1 	: 경양식
P1 	: 스프나오고 소스에 적셔나오는..ㅋㅋ
P1 	: 근데 밥으로 드릴까요 빵으로 드릴까요 안하고 그냥 밥이서서 좀..
P0 	: ㅋㅋㅋㅋ
P0 	: 기본이 밥인곳이 더 많아
P0 	: 맛있었어?
P1 	: 어 약간 양념치킨맛도 나고
P1 	: 그냥 맛은 있더라?
P1 	: 하지만 동인천에 그 왕돈가스가 더 맛있더라
P0 	: 고성의 돈까스맛집일수는 있지만 너에게 1번은 아닌것ㅋㅋㅋㅋ
P0 	: 동인천 왕돈가스 맛있어
P0 	: 먹고싶다
P1 	: 이시국이라 못간지 어언...8ㅅ8
P0 	: 그니까요.. 맛집을 공유하고 알아도 못가는
P0 	: 점심 먹어라
