# FILE DATA
ID : MDRW2100001764
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 기타 사회 생활 및 활동>종교

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 남성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 종교가 있으세요..???!
P0 	: 네네!
P0 	: 저는 불교입니다
P0 	: 종교 있으세요?
P1 	: 아아 저는 없는데, 어릴 때는 성당 좀 갔었고 지금은 아무데도 안가요
P1 	: 절은.. 부산에 그 유명한 절 이런 곳 밖에 가본 적 없는 거 같아요
P1 	: 그럼 가족들이 다 불교인가요?
P0 	: 네네 저희 집안 다 불교에요
P0 	: 성당은 가끔 가는데 교횐 너무 포교? 이게 너무 심해서 발길이 꺼리도라구요
P1 	: 아 맞아요
P1 	: 약간 부담스럽더라고요...
P1 	: 그럼 절에는 얼마나 자주가세요?
P0 	: 절에 자주 안가요 ㅋㅋㅋ
P0 	: 말 그대로 힐링하러 가거나 놀러갔을때 절이 있으면 들리는정도?
P0 	: 계절마다 한번씩 가는거 같아요
P1 	: 우와
P1 	: 모든 종교가 다 그렇겠지만 제가 가본 절들은 다 자연이랑 함께 있는 느낌이라
P1 	: 진짜 힐링되겠어요
P0 	: 저도 일부러 그런곳만가서 힐링 제대로 합니다!!
P0 	: 도심에 있는 절엔 그런 느낌이 잘 안나서
P1 	: 주위에 종교가 있는 친구들이 많은가요??!
P1 	: 제 주위에는 무교가 많긴 한 거 같아요
P0 	: 저는 교회가 제일 많고 그다음 무교에요 ㅋㅋㅋ
P0 	: 근데 무교 친구들은 놀러가서 절 보이면 저랑 같이 가줘서 좋아요 
P1 	: 오 주위에 종교 가진 분들이 많으시네요
P1 	: 뭔가 종교가 있는 분들은 부지런한 거 같아요
P1 	: 종교행사 이런거 챙겨서 하려면...
P0 	: 절은 석가탄신일 아니면 크게 없는거 같은데 교회는 진짜 부지런해야 하더라구요
P0 	: 수요일 금요일 일요일 이렇게 빠지지 않고 쭉 다니고
P1 	: 와 맞아요.. 피곤하고 바빠도 교회는 가더라고요
