# FILE DATA
ID : MDRW2100026741
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 뭐.. 진로를 어떻게 잡으셨는지 모르겠지만요? ㅠ ㅠ ㅠㅠ ㅠ 진짜 학구적인 열정으로 진학하셨을수도 있고....
P1 	: 여튼 예...그렇습니다(ㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ)맵다...
P0 	: ㅋㅋㅋㅋㅋ일단 난
P0 	: 새벽 세시에 쌍욕하면
P0 	: 자퇴한다
P0 	: 12시 이후엔 전화 안 받아요 교수님
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P1 	: 아니..진짜 눈물나는게 그분이 성정이 심약해서
P1 	: 다그냥 참고 견디셨어..
P1 	: 근데 일 엄청잘해
P1 	: (망했음)
P0 	: 그 길로 그냥 공무원의 길로 떠나겠어
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P0 	: 정말...멋지네
P0 	: 심성인지 학위의 의지신지...
P1 	: 응ㅇ....그렇지 참 존경할만한 분이라고 생각해
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P0 	: 내일 가기 싫어
P1 	: 대학원은 오십번 생각하고 가자(?
P1 	: ㅜ
P0 	: 우
P0 	: 대학원...
P1 	: 나머지 한명은...구해진겨?
P0 	: 응
P0 	: 아님 너 하구 싶니?
P0 	: 광주에 있겠지만
P1 	: ㅋㅋ 아니 아직 서울이지만... ㅋ그치만 뭔지도 모르는걸
P0 	: ㅇㅎ
P1 	: (당연함.)
P0 	: 근데 나도 몰라서...
P1 	: 진;짜웃긴다
P0 	: 그래서 저는 내일 7시 30분에 집에서 출발하게 된 것입미다
