# FILE DATA
ID : MDRW2100012564
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기술직 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 까페좋아하시죠?
P1 	: 메뉴이야기해볼까요?ㅎㅎ
P0 	: 저  커피좋아해요
P1 	: 커피 무슨종류요? 라떼?
P0 	: 마끼아또나 바닐라라떼 요
P0 	: 달달커피
P1 	: 오오ㅎ 저도 달달이좋음ㅎ
P1 	: 아메리카노는 좋아하세요?
P0 	: 아뇨ㅎ 물을 잘안마시는 체질이라ㅋ
P0 	: 아메는 사실 무슨맛으로 먹는지 모르겠어요
P1 	: 담뱃재맛안나요?ㅎ
P1 	: 담배는안피는데ㅎ처음에먹을때 그런맛이나는것같앴어요ㅎ
P0 	: 그렇게 느낄수도있겠어요
P0 	: 아메안드시나요?
P1 	: 가끔먹어요ㅎㅎ
P1 	: 전 달달한거ㅎ
P1 	: 스벅으로따지면 자바칩?ㅎ
P0 	: 저도 무조건 달달
P1 	: 무조건 초코ㅎ
P0 	: 전 더블에쏘
P1 	: 까페는 달달한거드시면ㅎ
P1 	: 수다하는건 좋아하세요?ㅎ
P1 	: 까페많이가면 수다 좋아하시는분일지도ㅎㄹ
P0 	: 네ㅎ 주로 스트레스는 수다로
P0 	: 친구셋이 만남 스벅에서 5시간씩 앉아있어요
P1 	: ㅎㅎㅎㅎ
P1 	: 역시ㅎ 수다쟁이는 수다쟁이를 알아보죠ㅎ
P1 	: 그러실것같애요ㅎ
P0 	: &name2&도 남자분치곤 수다스러우신듯
P1 	: 전 예전에 달콤이 24시간 할때 친구랑 단둘이서 밤새이야기헸어요ㅎ
P1 	: 뭐이렇게 이야기할께많은지
P1 	: 아무래도 쉴때라 그랬나봐요ㅎㅎ
P1 	: 저 수다쟁이같애요?
P0 	: 별거아닌걸로도 끝이없죠ㅋ
P1 	: ㅎㅎ 수다떠는게 세상에서 제일재밌어요ㅎ
P1 	: 그사람을 알아가는것도 재미고
P1 	: 그사람이 이야기하는 삶에 대한 재미도 있고ㅎ
P1 	: 세상 궁굼한게 많아서 그런가봐요ㅎ
