# FILE DATA
ID : MDRW2100003664
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 비엄청오니까 건조기 사고싶더라구여
P1 	: 맞아요
P1 	: 건조기 요새 필수죠
P1 	: 잔 오래된것니 있는데
P1 	: 옷이 아동복 되버려요 ㅜㅜ줄어들아요
P1 	: 들어요
P1 	: 새로나온 제품 사고싶어요
P1 	: 요새같이 습한기후로 바뀔때 필수같아요
P0 	: 건조기가 줄어드는게 좀그렇긴하더라구여
P0 	: 근데 진짜 뽀송하고 바짝말려지고
P1 	: 네 조심해도 한순간에 실수하고
P0 	: 그 건조되고 나는 냄새 아시져
P1 	: 자주쓰면 굘국 줄어요
P1 	: 결국
P1 	: 네
P1 	: 저 그거 싫어요
P1 	: 요샌 그거 없애는 시트도 있다던데
P0 	: 그 종이형 유연세제넣고
P0 	: 하면 넘좋드라규여
P1 	: 네 효과가 좋군요
P1 	: 저도 사봐야겠어요
P0 	: 예전에 사용한적있는데 지금은없어오ㅜ
P1 	: 전 구형이라 더심해요
P0 	: 사고싶어요ㅜㅜㅜㅜ
P1 	: 아
P1 	: 네 ㅜㅜ
P1 	: 목돈이라 건조기 사기 힘들어요
P0 	: 세탁기도 바꿀때됐는데
P0 	: 돈쓸일많네요ㅜㅜ
