# FILE DATA
ID : MDRW2100045594
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 아마
P1 	: 지킬이랑 시간을
P1 	: 나눌듯같은날이어도
P0 	: ㅇㅇㅇㅇ
P0 	: 인터파크가
P0 	: 생각이 있다면
P1 	: ㅇㅇㅇㅇ
P0 	: 둘을 동시에 열진
P0 	: 않겟지...
P1 	: 터질라구
P1 	: 후근데
P0 	: 어휴
P0 	: 네네
P1 	: 이런말해도될랑가모르겠ㅉ만
P0 	: ??
P1 	: 민기꺼는 한번정도만더보고 말려고
P1 	: ㅋㄱㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 노래를듣고싶어서
P1 	: 다시보고싶긴한데
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 민기 연기가취향은아닌가봨ㄱㄱㄱㅋㅋㅋㅋㅋㅋ
P0 	: 이미
P0 	: 조드윅을
P0 	: 봐버려서....
P1 	: ㅇㅇㅇㅇ
P0 	: 러닝타임마저 혜자...
P1 	: 아 외모는 끝장나더라 ㄹㅇ
P1 	: 비주얼미침 내돌인데도 도라방스
