# FILE DATA
ID : MDRW2100037127
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세여~~ 비도 오는데 오늘 뭐 드실예정이세요?!
P1 	: 저는 이미 저녁 먹었어요!
P1 	: 뭐 드실 예정이세요?
P0 	: 오 뭐드셨어요?
P0 	: 저는 로제짬뽕 먹었어용!!
P1 	: 오 짬뽕도 로제가 있나요???
P1 	: 로제가 다양하게 침투되어잇네요 ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ 니뽕내뽕아세요?
P1 	: 아니욬ㅋㅋㅋㅋㅋ짬뽕전문점인건 알겟어요
P0 	: 아 ㅋㅋㅋㅋ 네! 퓨전파스타집이에요!
P0 	: 거의 로제파스타라고 보시면 돼여 ㅋㅋㅋ
P0 	: 꽤 오래된 메뉸데 저는 진짜 오랜만에 먹었어요@
P1 	: 엇 파스타집이군요 ㅋㅋㅋㅋㅋ
P1 	: 맛있을거같아요
P1 	: 저는 오징어 두루치기먹엇어요 ㅋㅋㅋㅋ
P0 	: 네 ㅎㅎ 피자도 팔아요!
P0 	: 와ㅜㅡㅡㅜ 완전 메뉴 제대론대요?
P1 	: 매운거 좋아하세요?
P1 	: 청양 넣어서 매콤하게 먹엇어요 ㅋㅋㅋ
P0 	: 오오 저는 매운건 못먹는데 주변에서 먹으면 한입씩 먹어요ㅜㅋㅋㅋ
P0 	: 밥한공기 뚝딱했겠어요..
P0 	: 밥도 비벼드셨나요ㅠ
P1 	: ㅋㅋㅋㅋㅋ당연하죠! 밥위에 얹어먹엇답니다
P1 	: 계란후라이하나해서용
P0 	: 꺄{emoji:♡} 맛잘알! 제대로십니다 ㅋㅋㅋ
P0 	: 저는 아까는 비와서 북엇국 먹었거든욤
P0 	: 계속 비가 오구 쌀쌀하구.... 따뜻한 국물이 최고인거같아요 ㅎㅎ
P1 	: 크 북어국 진짜좋아해요 ㅋㅋㅋㅋㅋ뜨끈하게 속풀리구요
P1 	: 술도안먹엇는데 해장하는느낌
P0 	: 캬~ ㅋㅋㅋㅋㅋ 맞아요!!!!!
P0 	: 아까 점심에 먹는데 난 멀쩡한데 뭔가 속이 풀리는느낌이 들었어요
P0 	: 막 시원한 느낌도 나면서 ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ맞아요 아 북어국 땡기네요
