# FILE DATA
ID : MDRW2100027181
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 전시회 좋아하시나요?
P0 	: 관심있는 아티스트전은 가보는 편이예요
P0 	: 자주가세요?
P1 	: 잘 몰라서 한번씩 가는데
P1 	: 최근에 에바알머슨 보고왔어요
P1 	: 마음이 따뜻해지는 기분이 들어서 좋았습니다
P0 	: 방금 검색해봤는데 귀엽네요
P0 	: 창원에서 보신거예요?
P1 	: 네 ㅎㅎ
P1 	: 최근에 가신곳 어디실까요?
P0 	: 올초 압구정에서 있었던 전시회가 가장최근이네요
P1 	: 오 어떤전시회였어요?ㅎㅎ
P0 	: 크래피티 하는 일러스트레이터 전시회였는데
P0 	: 재밌었어요 md도 몇개사고
P1 	: 서울은 문화를 다양하게 접할수있어서 좋은거 같아요
P1 	: 부럽기도 하구요
P0 	: 있어도 잘은 안가요 저도 서울은 아니구요
P1 	: 아 그렇군요
P1 	: 최근 영화관 가보셧나요?
P0 	: 어제갔어요
P1 	: 오
P1 	: 뭐 보셧을까요?
P0 	: 맨인더다크 2요
P0 	: 깜딱깜딱 놀라는게 심장 쫄깃해졌어요
P1 	: 와
P1 	: 대박
P1 	: 무서운영화는 못봐요 ㅠ
P1 	: 무서운거 잘보시나요?
P0 	: 아뇨 공포는 못보는데 스릴러는 좋아해요
