# FILE DATA
ID : MDRW2100023460
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 제주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 네 김영갑 기억해둘게요
P1 	: &name1&은 코시국 끝나면 여행가고 싶으신 데 있으신가요
P0 	: 일본 가보고 싶어요
P1 	: 좋쵸
P1 	: 저는 오사카 도쿄 홋카이도 가봤어요
P1 	: 지역은요?
P0 	: 지역은 잘 몰라서요
P0 	: 북쪽에 게 많이 나는 곳이 홋카이도인가요?
P1 	: 네 위에 섬이 홋카이도
P1 	: 유명한데가 삿포로
P0 	: 일본 초밥이 한국보다 확실히 맛있나요?
P1 	: 네네네
P1 	: 완전요
P0 	: 별로 안비싼 집도 맛있어요?
P0 	: 그게 이유가뭐에요? 만드는 기술이 좋은거에요?
P1 	: 그랬던기억이나요
P1 	: 신선하고 싼집도 유명한데가 많았는데
P1 	: 수요가 많아서 그런것 같아요
P1 	: 츠키시시장같은 곳은 관관명소이기도 하고요
P0 	: 그렇군요... 우리는 비싸게 줘야 그나마 맛있는거같아요
P1 	: 제주도 마트가보면 오징어 전복 회 다싼데 가게가면 또 비싸더라구요
P0 	: 그럼 마트서 사서 집에서 먹으면 되나봐요?
P0 	: 마트꺼도 싱싱해요?
P0 	: 제주도가니 삼다수 엄청 싸던데요 ㅋㅋㅋ
P1 	: 네에 싱싱하구요
P1 	: 횟감 포장해서 만원에 팔아요
P1 	: 삼다수 ㅋㅋㅋㅋ
P1 	: 전 브리타정수기로 내려서먹죠
