# FILE DATA
ID : MDRW2100034194
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 매번 아침밥이 고민돼요
P1 	: 주로 뭐해서 드세요?
P1 	: 매일 똑같은것 같아요ㅜㅜ
P0 	: 전 매일 씨리얼ㅇ이나 오트밀 먹어요 과일도요
P0 	: 편하자나요 ㅋㅋ
P1 	: 저도 그러고 싶네요
P1 	: 다들 안먹는데요
P1 	: 그렇다고 많이 먹지도 않는데
P1 	: 편하시겠어요 ㅎㅎ
P0 	: 아침에 더 자고 싶어서 그런건데 건강엔 좀 안좋죠
P1 	: 오트밀은 그래도 괜찮아요
P1 	: 과일하고 드시니
P1 	: 괜찮을 거예요
P1 	: 짠거 먹는것보다 나아요
P0 	: 그럼요 삼김보단 몸에 좋단 생각으로 챙겨먹어요
P1 	: 그럼요
P1 	: 아침에 샌드위치는 가끔 먹어요
P1 	: 사와서 먹는데 좋아해요 ㅎㅎ
P1 	: 제요리가 별로인가봐요 ㅋㅋ
P0 	: 파는건 재료가 여러가지잖아요 파는 요리가 더 맛있는건 전혀 흠이 아니죠
P0 	: 빠바 가맹점비를 생각해보세요 휴,,,
P1 	: 네 집에선 그렇게 못해요
P1 	: 그렇죠
P1 	: 재료가 풍부해서 맛나요
P0 	: 집에서 만들려면 케일 한봉지 양상추 한봉지 이렇게 다 사서 조립ㅎ야되니
P1 	: 그렇죠 진짜 쓰고 다남고 ㅋㅋ
P1 	: 처리 불가돼요
P1 	: 사는게 합리적이네요 ㅎㅎ
P0 	: 네 그럼요 집에서 만들거면 간단하게 만들어먹어야죠
P1 	: 그렇죠 ㅎㅎ현명 하세요
P0 	: ㅎㅎㅎ
P0 	: 집에 디종머스타드 있으신가요?
P1 	: 아뇨
P1 	: 왜요?
P0 	: 샌드위치에 넣음 맛있는데 그런걸 구비하기어렵죠
P1 	: 아 그렇죠
P1 	: 그래서 맛난거군요
P0 	: 네 여러야채ㅔ 여러 소스에
P0 	: 마요 케찹만 넣어도 맛은 있긴한데
P1 	: 그래도부족하죠 ㅡㅡ
P1 	: 뭔가 더 들어감 맛나죠 ㅎㅎ
