# FILE DATA
ID : MDRW2100028755
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 특히 그 누구지 부산행나온
P0 	: 여자애 나오는 부분이나..
P1 	: 아
P1 	: 그 어린 대왕
P0 	: 김해숙 나오지않안ㅆ나
P1 	: 혀뽑는...
P1 	: ㅇㅇ 김해숙이 나태지옥
P0 	: 진짜 너무 이상했어
P0 	: 그럴수록 뻔뻔해야하는건 알겠지만
P0 	: 그것도 적당히지....
P1 	: ㅋㅋㅋㅋㅋㅋㅋ3에서도 지옥 배경이겟지..?
P1 	: 이동욱 진기한으로 쓰려면
P0 	: ㅇㅇㅇㅇㅇㅇ.......
P0 	: 근데 그래도 저는 안보러갈듯...
P0 	: ㅋㅋㅋㅋ덱스터 스튜디오 이번에 모가디슈에선 잘하던데
P0 	: 신함 씨지는 별로였는데....
P1 	: 아 모가디슈도 덱스터였구나
P1 	: 신함은 너무...
P1 	: 중국영화같았어
P1 	: 안좋은 의미로...
P0 	: ㅇㅇㅇㅇㅇ
P0 	: 모가디슈는 진짜 씨지 티안나는데
P0 	: 진짜 중국영화 ㅋㅋㅋㅋㅋ
P0 	: 그리고 분장도별로고....
P0 	: 이정재...
P1 	: 하긴 신함도 나온지 꽤 됐으니까
P1 	: 그사이 기술이 발전했을수도..
P0 	: ㅇㅇㅇㅇㅇ그것도있을거고
P0 	: 모로코에서찍어서
P0 	: 외부전경이나 글씨이런거
P0 	: 다 씨지작업했다던데
P1 	: 아진짜??
P1 	: 모로코랑 소말리아랑 언어가 아예 다른가?
P0 	: ㅇㅇㅇㅇ
P0 	: 느낌도다르고
P0 	: 인종도 살짝 다르고 그렇대
P0 	: 아프리카인도 실제 그 동아프리카 사람을 써야한느데ㅔ 서아프리카사람? 을 썼다고
P0 	: 아쉽지만 사실 한국에서만드는 영화가 그걸 어케 다 고증하곘냐는 말을 하지...
P0 	: 말을하지가아니고 고증하겠냐고 다들 이해하는 분위기더라
P1 	: ㅇㅇㅇ영화 찍겠다고 소말리아를 들어갈 수는 없잖아요
P0 	: ㅇㅇㅇㅇㅇ
P0 	: 근데고증진짜잘했5ㅐ
P0 	: 당시계시던분도감탄했다고
P1 	: 류승완 군함도로 욕 많이 먹고
P1 	: 각성해서 찍었나봐...
P0 	: 아 완전
P0 	: 이를갈고
P0 	: 신파다빼고
P0 	: 이를갈고 애국심빼고찍었나보더라
P0 	: 아니 그당시엔 갑자기
P0 	: 나카무라류이치상이라도 빙의라도했냐고....
P0 	: 확실히
P0 	: 의식많이한거같더라고...
