# FILE DATA
ID : MDRW2100033293
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 전자담배 정도는 이해가긴 해
P1 	: 난
P0 	: 그건 원래팔던거긴 하지만 뭔가 사치품 쇼핑 하라고 하는건 아니고 자영업 살리자는 취지일텐데 왜이렇게 정책을 수립한건지 모르겠어
P0 	: 자영업도 뭔가 대면 사업으로 피해본 직종?
P1 	: 자영업 살리자는 취지었어?
P1 	: 그냥 사업 확장인줄 알았는데
P0 	: 응? 아아아 그 내갘ㅋㅋㅋ말을 생ㄱ략했네
P0 	: 국민지원금으로 편의점 쓸수있다고해서
P0 	: 편의점에서 온갖거 다판대
P0 	: 식당이나 미용실 피씨방 노래방 뭐 이런 대면으로 피해본 곳에 쓰라고 한거같은데 편의점에서 전자제품도 팔아서 먼가 좀
P0 	: 이상한것 같다
P1 	: 아아아 그래??
P1 	: 아마 편의점이 가맹점이라서 그런가봐
P1 	: 거기 점장님들은 자영업자들이랑 같으니까
P1 	: 하긴 그렇다고 편의점이 피해를 많이 보진 않았을텐데 아쉽긴하지
P0 	: 응응 음식같은건 살수있다고 보지만 가전제품 쇼핑이 가능하다는게
P0 	: 상품제한이 있으면 좋지않나 싶어
P1 	: 근데 또 막기는 어렵긴하지
P1 	: 그나저나 전자기기가 갑자기 나와서 그런데
P1 	: 버즈2 어때? 샀나?
P1 	: 안 샀으려나?
P0 	: 샀어
P0 	: not bad
P0 	: 근데 뭐 내꺼아니라서ㅋㅋㅋ
P1 	: 아 그렇긴하지
P1 	: 난 지르고싶었는데 못 질렀거든 ㅋㄴㅋ
P0 	: 음 버즈 잘팔리는것 같더라
P1 	: 싸고 성능 좋잖아
P1 	: 살만하지
P0 	: 싼건가??
P0 	: 세일안해가지고ㅠ
P1 	: 사전예약했으면 뭐...본체만 9만원 정도에 산거니까!!
P0 	: 음 근데 쿠폰을 안주더라
P0 	: 삼성!! 뭐지ㅠ
P0 	: 쇼핑혜택 노리고 후기도 적었는데
P0 	: 그것도 안줘 아직ㅠ
P0 	: 기다리는중..
