# FILE DATA
ID : MDRW2100001747
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 남성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요즘은 공연을 못봐서 너무 아쉬워요
P1 	: 공연이요?
P1 	: 어떤 공연 보고 싶으세요?
P0 	: 전 가수 공연 보러다녔었어요
P0 	: 혹시 공연 좋아하세여?
P1 	: 전 영화 좋아해요
P1 	: 최근에도 봤구
P1 	: 방법: 재화의랑 이광수가 나오는 싱크홀
P0 	: 오 영화 재밌죠
P0 	: 싱크홀 재밌나요?
P1 	: 와우 진짜 겁나 재밌어요
P1 	: 이광수 런닝맨 하차하고
P1 	: 개그를 여기서.. 하핳
P1 	: 한번 시간나면 꼭 봐보세요!!
P0 	: 꼭 한번 봐야겠어요ㅋㅋㅋㅋㅋㅋ
P0 	: 좋아하는 영화 뭐 있으세요?
P1 	: 저는 다 좋아해요
P1 	: 판타지
P1 	: 로맨스
P1 	: 드라마
P1 	: 공포
P1 	: 전부 ㅎㅎ
P1 	: 싫어하는게 없죠!!
P1 	: 다음주에는 인질 봐볼려고요
P1 	: 황정민이 나오시는건데
P1 	: 재밌어보이더라궁ㅅ
P1 	: 재밌어보이더라구요
P0 	: 영화 나오면 전부 보는 스타일이신가요?
P0 	: 되게 보신 영화가 많을 거 같아요
P1 	: 아뇨아뇨
P1 	: 이번달에
P1 	: 방학이라
P1 	: 내려와서 친구들이 영화보자해서
P1 	: 1주일에 하나씩 보고 있네요 히히
P0 	: 우와 일주일에 하나요?
P0 	: 되게 많이 보시네요
P1 	: 네!
P1 	: 짜피 이번달에 또
P1 	: 기숙가 가야해서.. ㅠㅠ
P1 	: 아
P1 	: 아까 공연보신다 하셨잔아요
P0 	: 아하 ㅠ 그럼 왕창 봐놔야겠네여
