# FILE DATA
ID : MDRW2100027862
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요. 이번 2020 도쿄 올림픽 보셨어요?
P1 	: 네 당연하죠!
P1 	: 저는 특히 양궁이 인상깊었어요
P0 	: 양궁!! 저도 남자 단체전, 여자 개인전 봤어요ㅠ
P0 	: 김제덕 선수랑 안산 선수가 첫 올림픽 출전해서 활약하는 모습이 너무 가슴이 울리더라구요..
P1 	: 저 원래 이런 스포츠경기에 진짜 관심 없는 편인데, 한 번 보니까 끝까지 응원하게 되더라구요!!
P1 	: 아침부터 경기 챙겨본 경험은 처음이었어요 ㅋㅋㅋ
P0 	: 혹시 옆에서 후후 부셨나요..?
P0 	: 저는 상대팀 활쏠때 불었어요
P1 	: ㅋㅋㅋㅋㅋㅋㅋ와 진짜요?!!! 엄청 신박하네요 ㅋㅋㅋㅋ
P1 	: 상대팀에게는 미안하지만 실수해줬으면.. 하고 간절히 빌기는 했는데ㅋㅋㅋㅋㅋ
P1 	: 와 진짜 너무 참신하세요.. 베이징 때는 저도 한 번 시도해볼게요!!
P0 	: 안산선수 결승때 너무 간절해서  ㅠㅠㅠㅠ
P0 	: 상대선수한테 미안하지만 진심이었답니다
P0 	: 6개월 뒤에 또 그러네요 베이징에서 동계올림픽 하죠?
P1 	: 네네 그쵸!
P1 	: 룰은 잘 모르지만 저는 피겨 좋아해요 ㅎㅎ
P1 	: 진짜 너무 예쁘고.. 좋아요..
P0 	: 저두요ㅠ 피겨는 김연아 선수가 현역일때 꼭 보는 스포츠였던거같아요...
P0 	: 김연아 선수 덕분에 피겨가 유명해지기도 했고
P0 	: 저번 동계때 팀킴이 컬링을 너무 잘해서 저는 이번에 컬링도 보려구요!
P1 	: 컬링 너무 좋죠!! 이번 올림픽처럼 우리 국대 선수들이 조명받는 기회가 많이 생겼으면 좋겠어요
P1 	: 동계에서 짜릿한 건 쇼트트랙이 빠질 수 없죠 ㅎㅎ
P0 	: 헉 맞아요 쇼트트랙을 잊고 있었어요
P0 	: 그것도 엄청 봤었죠
P0 	: 언제나 가족끼리 둘러앉아서 응원하던게 기억나요
P1 	: 맞아요!!! 시간대가 안맞아서 밤에 환호성 지르다가 급 조용해진 적도 많죠 ㅋㅋㅋㅋ
P0 	: 맞아요ㅠ 대체로 시차가 안맞아가지구
P0 	: 그런 의미에서 도쿄 올림픽이 시차가 맞아서 참 좋았어요
