# FILE DATA
ID : MDRW2100042415
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 유튜브가 나을거 같아요
P0 	: 만든다말인가요????
P1 	: 그런거 배우는건 ㅋㅋㅋㅋ
P0 	: 허허허
P1 	: 그러게여
P1 	: 저 유튜브 잘안봤는데
P1 	: 제빵하려면 무조건 봐야되겠더라고요
P0 	: 가끔... 밖에 나가고싶을때 좋은거같아욬ㅋㅋ체험
P1 	: ㅋㅋㅋㅋㅋㅋ 마실겸
P0 	: 그쵸그쵸
P0 	: 그냥 사람이가끔 그리울때
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ 아 그럴때!!
P1 	: 체험 좋은거 같아요
P1 	: 가죽공예도 좀 궁금해요
P1 	: 식사 메뉴를 말해야겠지만
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 가죽공예도 맞아요 한번쯤하고싶어요
P1 	: 하여튼 체험 재미있어보이긴 한데 커리큘럼 잘보고 가야돼요 ㅋㅋㅋ
P1 	: 가죽공예 가서도 가죽 잘 자르는게 궁금한데 엉뚱한거만 하고 올수도 있어서 ㅋㅋㅋㅋ
P1 	: 하여튼 떡 만들기 이런것도 재미있어 보였어요
P0 	: 우와 떡만들기도 있엉ㅅ???어요???
P0 	: 아니 무슨
P0 	: 세상에
P0 	: 다 만드네욬ㅋㅋㅋㅋㅋ
P0 	: 제가모르는사잌ㅋㅋㅋㅋㅋ
P1 	: 그런거 많더라고요!!
P0 	: 오오.... 뭔가 빵부터만들어보고싶긴해욬ㅋㅋㅋㅋㅋㅋ
P0 	: 떡보다
P1 	: 떡보다 빵을 좋아해서 빵을 만들고 싶어요
P1 	: 레몬케이크도 언젠간 만들거 같아요ㅋㅋㅋㅋ
