# FILE DATA
ID : MDRW2100000406
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 기타 사회 생활 및 활동>종교

# SPEAKER_INFO
id : 1
age : 20대
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 하이
P1 	: ㅎㅇㅎㅇ
P1 	: 이번주 교회오라는데 가기싫어
P0 	: 저번주에도 안갔자나
P1 	: 베이스 굳이 해야되는걸까
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 응... 이번주도가기싫어...
P0 	: ㅋㅋㅋ 베이스 다른사람도 할수있어?
P1 	: 찬양팀... 아직 서기엔 오바아닌가..
P0 	: 너밖에 할 사람이 없는거 아니니
P0 	: 그건그래
P1 	: 기타 하는애가 베이스도할수있는데
P0 	: 걔한테 넘겨
P1 	: 맞아 그래버리고싶어
P1 	: 예배고뭐고....
P0 	: ㅋ진지하게 얘기해봐봐
P1 	: 근데또 알지
P1 	: 당장은 하기싫은데 나중엔
P1 	: 아쉬운거
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 알짘ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그래서일단 그만두지는못하고
P0 	: 잠깐쉬어그럼ㅋ
P1 	: 마자
P1 	: 싱어도아니고 인도자도아니고
P0 	: 베이스는 물론 있음 좋긴하지만ㅋㅋㅋ
P0 	: 아주아주 필수는아니라서
P1 	: 맞아!!! 예배할때 그냥
P1 	: 피아노랑 인도자랑
P1 	: 전도사님만있우면뭐
P0 	: 그칰ㅋㅋㅋ 잠깐쉬어도 큰무리없을듯
P0 	: 요즘도 영상예배?
P1 	: 응응ㅋㅋㅋㅋ
P1 	: 20명인가모여도되긴한다는데
P1 	: 그래서ㅜ찬양팀 시키는듯
P0 	: 오 20명된대?
P0 	: 4단계라 아예 안될줄
P1 	: 응웅 근데오바야
P1 	: 그니까
P1 	: 왜교회만 봐주는거야
P0 	: 의외네
P0 	: 이러니까 교회도욕먹고 ㅠ
P1 	: 맞으....
P1 	: 솔직히 뭐요즘은 교회믄 그런건아니지만
P1 	: 제일 타겟이
P1 	: 된다고
P0 	: 마자 타겟ㅋㅋㅋㅋㅋㅋ
P0 	: 힘내렴
P1 	: ㅇㅇㅇ이번주도 일단 찬양팀은 안가야지
P1 	: 중고등부는 하
P1 	: 그것도너무가기싫어 그낭 다가기싫엌ㅋㅋㅋㅋㅋ
