# FILE DATA
ID : MDRW2100022596
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 배달음식 최애가뭐에요?
P0 	: 전자레인지로 하는 요리 중에
P0 	: 할 줄 아는 거 있어요?
P0 	: 저 그거요 뭐더라 맵피탕?
P0 	: 김피탕!!
P1 	: 아 김피탕!! 그거 진짜 궁근해요
P0 	: 김피탕 안먹어봤어요?
P0 	: 생김새는 그냥 음식물쓰레기에요 ㅋㅋㅋ
P1 	: 네네 ㅠㅠ잘 안팔더라구요
P0 	: 근데 맛은 진짜 맛있어요
P1 	: 앜ㅋㅋㅋㅋㅋ비쥬얼은별로군요
P0 	: 저 인생에서 그런 맛 처음 먹어봐요
P1 	: 그게 수원인가? 거기서 첨나온거아닌가요?
P0 	: 잘 모르겠어요 ㅜㅜ 그래요?
P0 	: 누가 생각해낸 조합인지 모르는데 진짜 맛있어서..감동
P0 	: 단점은 두고두고 못먹어요 ^.^ 보관 불가 ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋ아그래요 왜요??
P0 	: 하루만 지나도 탕수육이 딱딱해져요
P0 	: 치즈도 막 굳고 그래서 데워도 딱딱하더라구요
P1 	: 아 그럼 난감하네요 ㅠㅠ
P0 	: 그래서 혼자 살땐 그거 시켜먹어본 적 없어요
P1 	: 그낭시켜서바로먹어야겟다
P0 	: 친구들의 도움이 필요해요 ㅋㅋㅋㅋ
P1 	: 아 그렇겟네요 ㅠㅠ
P0 	: 김피탕 하나 시키고 술 먹으면 딱이에요
P1 	: ㅋㅋㅋㅋㅋ술은 잘드세요?
P0 	: 술이요? 하하;;
P0 	: 술도 종류가 되게 다양하더라구요
