# FILE DATA
ID : MDRW2100047695
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 그 외사 경찰?
P0 	: 외국어 잘하는.분들 특채로 뽑는거요
P1 	: 아
P1 	: 오케이.
P0 	: 그거하고싶었는데
P1 	: 엄... 하 나 불가능하네
P0 	: 외국어가 날 반대해서
P1 	: 영어토론실패자
P0 	: 못했어요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 베트남 음식만 맞는자.
P1 	: 아놔 진짜웃겨
P1 	: 오케이. 미투.
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 예아
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 전 근데 체력때문에도 경찰 못해요 씁
P0 	: 하 암튼 저 희.머먹고살죠
P1 	: 하...
P0 	: ㅇㄴ 경찰 이번에 시험 바뀐다던데
P1 	: 저 동냥 잘하는데 동냥 브이로그 ㄱ?!
P0 	: 막 .... 막
P0 	: 막...저는 트위터에
P1 	: 아놔 맞아요 그거 바뀐다는데 사실...
P1 	: 네?
P1 	: 별 의미없는 변화.
P1 	: ?!
P0 	: 허루진짜요?
P0 	: 남녀 똑같이 바뀐다해서
P1 	: 하 씁 그렇긴한데
P0 	: 쓰읍..
P1 	: 남자 298명 여자 56명 이렇게 뽑아서
P0 	: ㅇㄴ
P0 	: 뭐하자는
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 양심..어딨어.
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅇㄴ 남자로 태어날걸~!
P1 	: 하 씁 달린게 우세다~!
