# FILE DATA
ID : MDRW2100035409
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오 저는 군산은 가본적이 없어요
P1 	: 어떤 점이 좋으셨나요?
P0 	: 군산역에서 버스타고 들어가서 어떤 동네에 내리면 걷는곳마다 동네가 예쁘더라구요!
P0 	: 조금만 걸어가면 철길있고 바다도 있고
P0 	: 군산근대역사박물관이었나? 그런 곳도 있었는데 예전 군산의 모습을 재현해놔서 옷도 입고 체험할수있어서 좋았어요!
P1 	: 오 그렇구나
P1 	: 다음에 여행 갈 때 군산을 염두에 둬야겠네요
P0 	: 그리구 요즘은 이성당 체인있지만 군산에 이성당이 있지여 ㅋㅋㅋㅋ
P0 	: 거기 유명한 짜장면집도 있구요!!!
P1 	: 오 군산에 중국집 들어본 것 같아요!!
P0 	: 거기 드라마찍는 중국집도 있다고 하고 알음알음 유명세 얹혀서 유명해진건지 모르겠는데 중국집 되게 많았어요!
P0 	: 군산에서 하루있었는데 두끼나 중국집 갔던 기억이 ㅋㅋㅋ
P1 	: 오 군산은 중국음식이 특징인가?ㅎㅎ
P0 	: 글쎄요.. 아마 바다가 있어서 이전부터 해외랑 교류가 있어서 그런것 같기도 해요 ㅎㅎ
P0 	: 어디나 항구있는쪽이 개방도 빨리하고 문화가 다양하니까요 ㅎㅎㅎ
P1 	: 아 그러게요
P1 	: 인천이랑 부산에도 차이나타운이 있는 것 보면
P0 	: 거기에는 일본문화도 있었거든요.. 제가 잘은 몰라도 군산이 바다도 있고 토지가 좋아서? 그쪽을 많이 노렸다고 했어요
P0 	: 군산에서 막... 공업? 농업? 그런거해서 일본물자조달하는데에 쓰고..
P0 	: 그런 역사가 많이 묻어있더라구요
P1 	: 아 한국사 책에서 본 기억이 나요
P0 	: 아! 그리구 그 영화로 유명한 사진관도 있어요!!!
P1 	: 초원사진관
P1 	: 거기가 군산이죠?
P0 	: 네네!! 맞아요! 거기 ㅎㅎㅎ
P0 	: 들어가서 다 구경하고 사진찍을수있어서 좋더라구요
P1 	: 군산 가면 들러야겠네요
P1 	: 가볼 곳이 많군요
