# FILE DATA
ID : MDRW2100016031
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㄱㅋㅋ
P0 	: 케이크는 뭐 좋아해요
P1 	: 저는 치즈케이크요
P1 	: &name1&은요?
P0 	: 치즈케이크 너무 맛있겠다
P0 	: 저는 아이스박스
P0 	: 투썸꺼요
P1 	: 으음.
P1 	: 그렇군요
P0 	: 별로인가요
P1 	: 아이스박스 첨들어봐요
P1 	: 아뇨아뇨
P0 	: 아 이거 오레오갈아서 생크림? 크림치즈? 겹겹이 쌓은거에요
P0 	: 투썸의 베스트 셀러죠
P0 	: 치즈케이크 맛집있나요
P1 	: 와
P1 	: 그렇군요
P1 	: 저는 애슐리 치즈케이크 좋아해요
P0 	: 애슐리 맛있어요
P0 	: 치즈대축제 할 때 가셨겠네요
P1 	: 맞아요
P1 	: ㅋㅋㄱㅋ
P1 	: 아뇨
P0 	: 아앗..
P0 	: 좋아는 하는데 가지는 않았다
P1 	: 아앗..
P0 	: 그럴 수 있습니다
P1 	: 거지입니다
P1 	: 흑흑
