# FILE DATA
ID : MDRW2100022307
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아 진짜요
P0 	: 신기하네요
P1 	: 전 소개팅으로 연애가 처음이라
P1 	: 낯설어요 ㅋㅋㅋ
P0 	: 근데 좋지 않아요?
P0 	: 이런느낌 언제 느껴봐요 ㅋㅋ
P1 	: 네 이것도 또다른 매력이 있네요
P0 	: 여친이 손 처음 잡을때 긴장해서 손에 땀도 났었는데 ㅋㅋㅋ
P1 	: 앜ㅋㅋㅋㅋㅋ
P1 	: 뽀뽀는 거절당하고 언제 시도했어요
P1 	: 그담날?
P0 	: 거절당하고 나서
P0 	: 제가 좀 뾰루퉁했어가지고
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 일주일뒤 주말에 만날때
P0 	: 이제 준비됐어? 하고 그냥
P1 	: 와 박력있다!!!
P0 	: 해버렸어요
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 뽀뽀하고 키스까지 3개월 ㅋㅋㅋㅋㅋ
P0 	: 이게 30대 연애
P1 	: 에엥 진짜요?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 뽀뽀 그냥 볼뽀뽀였습니까?!
P0 	: 입술뽀뽀
P0 	: 근데 여친이 키스는 시간이 필요하다고
P1 	: 와 그런데 어떻게 또 그런 간격이!!
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아 진짜요? ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 첫 연애셨나요?
P0 	: 자기는 키스보다 뽀뽀가 좋다고
P0 	: 여친은 제가 처음이래요
P1 	: 아 그러면 그럴 수 있겠네요
P0 	: (근데 사실아니에요 제가 주선자한테 들음)
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아 뭐야
P0 	: 진짜 짧은 연애 한번이 있었대요
P0 	: 그리고 다음 저
P1 	: 아아 ㅋㅋㅋㅋㅋ그럼 뭐
P1 	: 제 친구도 일주일 사귀고 헤어지고 연애경험 있는 걸로 굴어요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 일주일요?
P1 	: 썸을 길게 타고 사귀는건 일주일
P1 	: 그럼 뭘 안햇으니 연애아닌거같은데
P1 	: 암튼 얘가 남친 생긴지도 몰랐는데
P1 	: 어느날 만나서 하는말이 남친이랑 헤어졌다 여서
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저한테는 서태지 이지아 이혼 다음가는 스캔들이에요
P0 	: 웃긴다 ㅋㅋㅋㅋ
P0 	: 그친구 지금 남친 있나요?
P1 	: 없어요
P0 	: 앗.....
P1 	: 근데 연하남들이 계속 대시는 해요
P1 	: 항상 연하남
P1 	: 근데 얘는 연하가 싫은거에요
P0 	: 와
P0 	: 능력자
P1 	: 그니까요 능력자인데
P1 	: 그 일주일말곤 연애안햇어요
P0 	: 이런....
P0 	: 제친구중에 그렇게 짧은 연애만하다가
P0 	: 길게 하고선
P0 	: 결혼하더라구요
