# FILE DATA
ID : MDRW2100032294
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 부산
principal_residence : 제주
current_residence : 제주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저는 리코더는 못 불러도 장소는 재미있게 풀었죠
P0 	: 이제 2분만 있으면 쇼핑을 나갈 준비를 할 겁니다
P1 	: 취미를 위한 쇼핑도 많이 하더라고요
P0 	: 어디 붙어 들릴까요 볼펜 붙어 살까요
P0 	: 바로 그 사람이 저입니다
P1 	: 잘 생각했습니다 가까운데 붙어 가시고 무거운 거는 나중에 4시고
P0 	: 고양이 그리기 클래스 101 해서 보고 신청해서
P0 	: 유성 색연필 또 사고 스케치북 또 사고 그래서 고양이 그리기에 빠졌던 적도 있고요
P1 	: 올리브영을 마지막에 가셔야겠네요
P1 	: 뭔가 귀엽네요 사진 있나요
P0 	: 양모 펠트 하고 싶어서 세트 사가지고 양모로 인형 만들기 했는데 정말 이상한 생물이 만들어져서 지금 집에 잘 가지고 있기도 하고요
P1 	: 해 놓은 거 있으면 보여 주세요
P0 	: 네 나중에 따로 보여 드릴게요
P1 	: 그거 저주를 부르지 않을까요
P1 	: 무섭네요 덜덜덜
P1 	: 아마스빈도 가실 건가요
P0 	: 양모펠트 쇼핑 했을 때 엄청 기쁜 마음에 했었는데 물건 하나가 안 와 가지고 며칠 더 기다렸던 슬픈 추억이 있어요
P0 	: 양말을 바늘로 콕콕 찔러서 인영을 만들어야 되는데 손이 많이 질려서 아팠네요
P1 	: 저도 리본을 만든 적이 있지요
P1 	: 드렸었는데 기억하나요
P0 	: 또 뜨개질 하는 것도 취미 어서 털실 쇼핑도 일 년에 몇 번씩 한답니다 이제 가을이니 털 쇼핑도 해야 되겠어요
P0 	: 기억합니다 그때 정말 예쁘게 잘 만드셨어요 리본 핀
P1 	: 털털한 사람이군요
P1 	: 제일 이쁜 핀을 줬던 걸로 기억해요
P0 	: 화장품 만들기도 한다고센셜 오일도 사고 오일도 사고 했던 기억이 나네요
P0 	: 맞아요 제가 엄청 아껴서 썼었죠 너무 예뻤어요
P0 	: 가죽 가방 만들기도 하셨잖아요
P1 	: 취미를 하면 다 돈이에요
P1 	: 재료 사다가 다 끝나요
P0 	: 네 보람을 사는 대신 돈은 엄청 깨집니다
