# FILE DATA
ID : MDRW2100028219
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저도 집꾸미기인줄알았는데 뭔퍼즐게임이라면서요?
P1 	: 앗 이거 계속 해도 되는 거였군요!!!!!
P1 	: 맞아요 그냥 캔디크러쉬사가랑 똑같더라고요
P1 	: 저도 그런거 진짜 질려서...
P0 	: 네네 ㅋㅋㅋㅋ
P0 	: 전안해봤는데 여기서하시는분이 설명해주셨어요 ㅋㅋㅋㅋㅋㅋ
P1 	: 와 엄청 잘 만나셨다!!! ㅋㅋㅋ
P1 	: 전에 온라인 겜은 뭐하셨었어요?
P0 	: ㅋㅋㅋㅋㅋㅋ저 온라인게임은 오버워치 아주잠깐해봤었고
P0 	: 메이플이랑 마비노기 마영전 이런류
P0 	: 했었어요
P1 	: 아!!! 전 파판도 잠깐 해봤어요
P1 	: rpg류 해보셨구나
P0 	: 네 파판은안해보고
P0 	: 마비노기 학창시절에 미쳤었죠..
P1 	: 진짜 마비노기 제 친구들도
P1 	: 많이 했었어요
P1 	: 룩 꾸미고
P0 	: 네 넥슨이 돈슨이라 불리기시작한..
P0 	: 확률에 돈맛본게 거기서시작이었을거에요..
P1 	: 휴..생각하니 화난다
P1 	: 자꾸 뽑기 시키고
P0 	: 전 펫에돈많이썼었죠..
P1 	: 거의 강원랜드인줄 알았잖아요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ맞아요 ㅋㅋㅋㅋㅋ
P1 	: 온갖군데에서 뽑기 나오고........
P0 	: 뽑기나오면 재미없어지기시작..
P0 	: 1절2절 뇌절까지가니까
P1 	: 저만 그런 줄 알았는데
P1 	: 진짜 격공이요
