# FILE DATA
ID : MDRW2100000343
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저녁 뭐 먹을거야
P1 	: 나 샤브샤브
P1 	: 넌?
P0 	: 난 고민중인데
P0 	: 곱창먹고싶기도하고
P1 	: 곱창맛있지
P1 	: 또?
P0 	: 음... 어제 두개 사서는 하나만먹고 아껴놨던 마카롱?
P0 	: 곱창 먹고싶다
P1 	: ㅋㅋㅋ마카롱이랑 곱창
P1 	: 갭이 너무 큰데?
P1 	: 곱창 어서 먹어
P1 	: 맛집좀
P0 	: 우리집주변엔 맛집없어ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 원래 인터넷에나오는 맛집은 우리동네에 없는법이잖아...
P0 	: 칼국수 맛집 있긴하다
P1 	: ㅋㅋ칼국수좋지
P1 	: 근데
P1 	: 곱창이 더 맛있음
P1 	: ㄱㄱ
P0 	: 곱창 진짜 맨날먹고싶은데 비쌈
P0 	: 샤브샤브 안먹은지도 오래됐어
P0 	: 맛있겠다
P1 	: 나 원래 샤브안좋아했는데
P1 	: 친구가 좋아해서 따라다니다가 좋아짐ㅋㅋ
P1 	: 1인샤브!
P0 	: 야무지게 잘 먹고다니네ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 샤브샤브먹는다고해서 저녁에 약속있나했는데 혼자먹으러가는거였구나 ㅋㅋㅋ
P0 	: 맛있겠당 우리집주변에도 1인샤브집 있나모르겠네
P1 	: ㅋㅋㅋ1인샤브가 딱 내 속도 지켜가며 먹고
P1 	: 그래서좋은듯
P0 	: 나 어제 너랑 대화하고
P0 	: 1인샤브먹으러갔다 ㅋㅋㅋㅋㅋ ㄹㅇ임
P1 	: ㅋㅋㅋㅋ용케 바로 찾으러갔네
