# FILE DATA
ID : MDRW2100040221
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 경기
device : 스마트폰
keyboard : 기타

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 건조기 써보니까 어때요? 전 지금 살까 말까 고민중이라요
P1 	: 좋긴 좋아요
P1 	: 날씨 상관없이 말릴수 있으니까요
P0 	: 그래서 이번 가을장마때 진짜 너무너무 사고 싶엇어요
P0 	: 자리는 별로 차지 안하나요?
P1 	: 자리는...저희집은 김치냉장고가 없어서...
P1 	: 그자리에 넣었어요
P1 	: 요즘은 세탁기위에도 많이 올릴수 있게 되어있던데요
P0 	: 아 김치냉장고가 없군요
P0 	: 저흰 김치냉장고만 3대라서요...;;;
P1 	: 헉 3대나요???
P1 	: 저희는 김치를 많이 먹는편이 아니라서요
P0 	: 그렇군요.. 그럼 필요없죠
P0 	: 저흰 김치는 1개정도만 쓰고 1대는 냉장고용 1개는 냉동고용으로 써요..
P1 	: 와 냉장고에 넣으실게 많으시군요 ㅎ
P1 	: 저희는 냉장고 하나로 다 써요
P1 	: 3개로 나눠어져서 딱 좋아요
P1 	: 가운데는 김치냉장고 칸
	  위에는 냉장
	  아래는 냉동
P0 	: 제가 원래 요리할때 손이 커서 재료를 좀 미리 많이 구입해놓는 편이라 이렇게 있어도 아직도 부족하네요
P1 	: 아...요리를 또 잘하시니 ㅎㅎㅎ
P1 	: 건조기는 면 옷이 많으면 사시는거 추천드려요
P0 	: 면 옷과 잘 맞나보네요
P0 	: 니트는 넣지 말라고 들었어요
P1 	: 그냥 옷을 열풍으로 말리는거니...
P1 	: 니트나...블라우스들은 넣으면 안되거든요
P1 	: 니트나 블라우스는
P1 	: 넣으면 안되거든요
P1 	: 그러다 보니 제옷도 전부 면옷으로 바뀌게 되긴 해요 ㅎㅎㅎ
P0 	: 그렇군요.. 그래서 수건 말릴때 좋다고 하는거군요..
P0 	: 면옷들도 많긴 한데.. 아 고민되네요
P1 	: 수건은 건조기에 넣고나면 부들부들 해요
P1 	: 밖에 널었을때는 좀 뻣뻣한 감이 있는데
P0 	: 호텔수건 같다면서요. 그게 제일 장점같은데
