# FILE DATA
ID : MDRW2100032753
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 기타 사회 생활 및 활동>온라인 커뮤니티

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 블로그와 트위터를 했는데
P0 	: 사실 원래 블로그에 사진이 있었거든요
P1 	: !!!
P0 	: 최근에 블로그 챌린지라는게 생기면서
P1 	: 저도 블로그합니닷(수줍)
P0 	: 저의 모든 흑역사들이 보여서
P1 	: 네
P0 	: 싹 한번 밀어버렸... 허허
P0 	: 어머 블로그 하세요?
P1 	: 아깝네요....
P0 	: 지금은 책 리뷰를 하는 블로그로 사용 중이에요 ㅎㅎ
P1 	: 비공개도아니고 레알 없애버리셨나요
P0 	: &name2&님께서는요??
P1 	: 저는 모든것의 블로그에요
P0 	: 완전 진짜 다급하게 싹 없앴어요  ㅠ
P1 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 비공개는 생각도 못했답니다
P1 	: 아까워오 ㅜ
P1 	: 맛집 공부 일상
P0 	: 그러게요 지금 생각하니까 캡쳐라도 해둘걸 너무 아까운거 있죠 ㅠ
P1 	: 다 있어요
P1 	: ㅋㄱㅋ
P1 	: 재테크공부 맛집 쇼핑후기 이런거요 ㅎㅎ
P1 	: 어디 다른 서버에 저장안돼있나요 넘 아까워요 ㅜ
P0 	: 우와 정말 다양하게 남겨두시는군요!
P0 	: 맛집 정보 정말 탐이 나요!
P0 	: 재태크라면 혹시 주식도 하시나요?
P1 	: 넵:)
P1 	: 망테크인지 재테크인지몰라도
P1 	: 매우 열심히 공부는 합니다
P1 	: 허허
P0 	: 앜ㅋㅋㅋㅋㅋ 저는 최근에 주식 처음 시작했어요
P0 	: 흐름 타기엔 좀 늦게 시작해버렸죠 ㅠ
P1 	: 맛집정보가 탐나신다면 초록창 블로그에 챠밍정을 검색해주세요
P1 	: ㅋㅋㅋㅋㅋㅋ조심스런 블로그 이웃 신청
