# FILE DATA
ID : MDRW2100039869
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 업어줄수있을까
P0 	: 키가 크셔야겠다
P1 	: 남친발목이나갈거같은데
P0 	: &name2&이가 크니까
P1 	: 키작은거상상햇어
P0 	: 듬직헌 사람 만나요
P0 	: 수박주스도 같이 먹어쥬고
P1 	: 개그프로보면
P0 	: 얼른 연애하세요
P1 	: 업혔는데
P1 	: 발이 질질
P1 	: 끌려가는
P1 	: 그거상상했어요
P1 	: ㄱㅈㄱㅈㅋㅈㄱㅈㄱㅈㄱ
P1 	: 뚜박쥬스..
P0 	: 앜ㅋㅋ언돼요
P1 	: 뚜비니가..
P1 	: 먹어주면안되낭ㅇㅈㄹ
P1 	: 뚜비뚜바
P0 	: 나야 항상 먹어주지
P0 	: 암튼 귀찮아 사이버연애
P1 	: 사이버연애ㅜㅜ
P1 	: 하
P1 	: 근데나이드니확실히
P1 	: 이제친구들도보내줘야겟고
P1 	: 뭐그런생각이든당
P0 	: 구쵸
P0 	: 이제 35살이 코앞인데
P0 	: 걱정이많아요
P0 	: 괜히 다른 사람도 놓치는게 아닌가 싶고
