# FILE DATA
ID : MDRW2100033255
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 시사(정치, 경제, 사회)>국세청 근로장려금 신청 접수

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 뭐든괜찮아욤
P0 	: 근로 장려금.. 혹시 신청 하셨나요??
P0 	: 아마 아직 안 하셨을 수도 있을 것 같은데
P1 	: 저는 작년부터
P1 	: 꾸준히 받고있지요!!!
P1 	: 이번에도 1일부터신청이길래
P1 	: 했져!
P0 	: 엇 하고 계셨군요!
P1 	: 물론리죠!!
P0 	: 형제 자매중엔 한명만 받을 수 있다고 본 것 같아서 이번엔  신청 못했거든요 ㅠ
P0 	: 우와 되게 정보들 잘 찾아보시나봐요!
P1 	: 아아앙 저는 사실 20살때부터
P1 	: 집에서 용돈안받고
P1 	: 등록금 생활비 교통비 휴대폰 등등 다 제가내서
P1 	: 열심히 찾아먹고있죠,,,ㅋㅋㅋㅋ
P0 	: 진짜 멋쟁이네요!!
P0 	: 알바 하면서 공부 동시에 하기 힘들지 않아요?
P0 	: 아 혹시 장학금.. 받으시는... 수석?
P1 	: 에이...아니에요
P1 	: 3.8...평범평범남인걸여
P0 	: 에이... 돈벌면서 학점 챙기기 어려운건 다 아는데
P0 	: 열심히 하시는게 느껴져요
P1 	: 후라....감사합니당 ㅠㅠ
P0 	: 스스로 20살부터 어떻게 알아서 할 생각을 하셨어요?
P1 	: 그때부턴 성인이니까요!
P1 	: 라는생각이었던거같아요
P1 	: 고등학교 3년도
P1 	: 매년 삼성장학재던에서 장학금받고 학교다녀서
