# FILE DATA
ID : MDRW2100003037
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 요새 보는 드라마 있으세요?
P1 	: 요즘 술의생이랑 펜트하우스요
P0 	: 슬의생이랑 펜하는
	  너무 극과극 아닌가요?ㅋㅋ
P0 	: 펜하는 안봐서 모르지만.ㅋㅋㅋ
P1 	: 근데 잘 안 챙겨봐요. 지나고나서 생각나서
P1 	: 극과극이네요. 그러고보니.ㅋㅋㅋ
P0 	: 저는 슬의생은 보는데
	  매주 감동과 웃음이 {emoji:♡}
P1 	: 그러고보니 저번주 이번주 다 못 봤네요
P1 	: 오늘 펜하는 챙겨볼려나?ㅋㅋㅋ
P0 	: 저도 제 시간에는 못보고
	  항상 담날 넷플로 봐요ㅠ
P0 	: 펜하는 몇 시에 해요?
P1 	: 10시인가 하는거 같아요
P0 	: 슬의생 보다는 늦게 하네요^^
P1 	: 정확한 시간도 잘 몰라요.ㅋㅋㅋ
P0 	: 그냥 tv키고 채널 돌리다
	  나옴 보는 각이신데요?ㅋㅋ
P1 	: 맞아요. 티비도 잘 안 봐요. 밥 먹을 때나 틀어보고
P0 	: 그럼 주로 집에서 뭐하세요?
P0 	: 음악듣는건 좋아하시나용?
P1 	: 빈둥거려요ㅋㅋㅋ. 요즘은 음악도 잘 안 들어요
P1 	: 요즘 노래는 너무 빠르고 정신없어요.
P1 	: 좋아하는 노래 있으세요?
P0 	: 저는 요즘 슬의생에 나왔던
	  이무진 비와 당신
P0 	: 윤종신이랑 성시경이 부른 한번더 이별
P0 	: 많이 듣는거 같아요
P1 	: 한번 더 이별은 제목 처음 듣네요. 찾아서 들어봐야겠어요
P1 	: 슬의생에 나오는 노래 다 좋죠
P1 	: 전에 응답하라 시리즈 노래도 좋았고
P0 	: 가을도 아닌데
	  벌써부터 센치해지는
	  노래들을 찾아듣네요ㅋ
P0 	: 오오 맞아요 맞아요
P0 	: 둘다 ost들이 너무 좋아서
P0 	: 보고나면 다음화 할때까지
	  그 노래들 듣고 또 듣고 했어요ㅋ
