# FILE DATA
ID : MDRW2100033874
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 님 저녁 뭐드실거죠?!
P1 	: ㅇㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저 아직 점심도 안먹어서
P1 	: 점심부터 말해볼게요
P1 	: 덮밥 vs 비빔밥
P0 	: 아놔
P0 	: 비빔밥.
P0 	: #가보자고
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 오케이~!~!!!ㅋㅋㅋㅋㅋㅋ
P1 	: 제사 음식중에 뭐 좋어하나요
P1 	: 산적 vs 배추전
P0 	: 아 씁 닥 산적
P0 	: 산적 을매나 맛있게요
P0 	: 저 진짜 산적좋아하거든요,,,,, 저희집은 제사를 안 지내서 문제지만...
P0 	: 님은요?!
P0 	: 제사 음식 산적 VS 배추전
P1 	: 닥 산적
P1 	: 아맞다
P1 	: 기독교시라
P1 	: 맞아요 음식엔 죄가 없어요
P1 	: 홀리..아멘..
P0 	: 아멘....
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아놔 님 그러면 명절음식
P0 	: 떡국 VS 송편
P0 	: 산적 맛있죠... 념의.
P1 	: ㅇㄴ
P1 	: 떡국
P1 	: 국물 여미..
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ맛 잘 알 ^^!
P0 	: 님 비오는데 전 드실건가요?
P1 	: 쓰읍 고민이네요
P1 	: 감자전 먹을까요 김치전 먹을 까오
P1 	: (안먹는다고는 안함)
P0 	: 아씁 님 반반은 하기 힘든거죠
P0 	: 그거 반반하면 대박맛있는거아시는지
P0 	: 하...
P1 	: 치킨도 님 반반 드시죠
P0 	: 당연하죠
P1 	: 그럼 하나 + 하나로다가
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ님 진짜..
P0 	: 저거 반반해보세요 나중에
P0 	: 맛있어요 그 감자전의 밍밍한맛을 김치전이 짜게 만들어주는데
P0 	: 진짜 맛있어요
P1 	: 헐 아 ㄹㅇ 반반하라는 뜻이었군요???
P1 	: 신세계다
