# FILE DATA
ID : MDRW2100017381
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저녁은 뭐 먹었어?
P0 	: 잔치국수~!
P1 	: 난 봉골레파스타
P0 	: 식당에서?
P1 	: 아니 오늘은 배달시켜먹었어
P0 	: 나두 배달ㅋㅋ
P1 	: 하루한끼는 배달
P1 	: 두끼 이상은 집밥
P0 	: ㅋㅋㅋㅋ
P1 	: 음료수는 쿠팡 대량주문
P1 	: 먹고살기 힘들다
P0 	: 제로콜라 많이 마셧어
P0 	: 쿠팡배달
P1 	: 그거 안좋데
P0 	: 아 그래?
P1 	: 제로콜라에 설탕대신들어가는게 몸에 안좋다하더라고
P0 	: 헉ㅠㅠ
P1 	: 탄산수 씨그램 애플맛
P0 	: 엄청마셧어ㅜㅜ
P1 	: 추천
P0 	: 자제해야겟네
P0 	: 제로콜라전에는 항상 탄산수마셧엇는데ㅜ
P0 	: 다시 돌아가야겟어
P0 	: 탄산수로
P1 	: 응 건강을 해친다 콜라는
P1 	: 나는 왠만하믄 탄산수 음료수는 포카리나
P1 	: 두유
P0 	: 제로라고 방심하다 클랇컨
P1 	: 제로사이다도 마찬가지
P0 	: 응 명심할겡
