# FILE DATA
ID : MDRW2100019729
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 넷플릭스를 이용하시나요?
P1 	: 아뇽 예전에 이용하고 지금은 안해요ㅎ
P1 	: 넷플보세요?
P0 	: 네 그런데 자주 보고있진않네요
P0 	: 취향이 좀 까다로워서 그런가봐요
P1 	: 주로 어떤거 보세요?
P0 	: 드라마나 영화 애니요
P0 	: 어라 다 보는 것 같네
P1 	: ㅋㅋㅋㅋㅋ다 보시는 거같은데...?
P1 	: 드라마는 뭐보세요?
P0 	: 재밌었던게
P0 	: 브루클린 나인나인
P0 	: 엄브렐라 아카데미
P0 	: 우리나라꺼는 괴물 추천드려요
P1 	: 오...저 두가지는 미드인가요?
P0 	: 그렇습니다 위에 두가지는 미국드라마예요
P1 	: 장르가 어떻게 되나요??
P0 	: 브룩은 코믹이고
P0 	: 엄브렐라는... 장르를 뭐로 정의해야할지
P0 	: 괴물은 형사물인데 정말 재밌습니다
P1 	: 오...저는 펜하랑 결혼작사 이혼작곡하고 악마판사 봤어요
P0 	: 펜하 보시는군요
P1 	: 괴물 한번 봐야겠네요
P0 	: 시즌2까지는 정말 재밌었는데 지금은...하하
P1 	: ㅋㅋㅋㅋ저도 중간에 이상해져서
P1 	: 안보다가 보다가 중...ㅜ
P0 	: 저도 그래요 오늘 하는데 엄마가 그만보자고 하면서 지금 다큐보세요
P1 	: 아 오늘 초반부분을 놓쳤네요...
P1 	: 저번 11화 때 마지막장면이 너무 충격이었는데
