# FILE DATA
ID : MDRW2100019939
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 서로 정말 솔직히 편지를 주고받고 토론한 적이 있어요ㅋㅋ
P1 	: 사랑이 뭘까..? 이러면서ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ와 대박
P1 	: '헤어지고' 나서도 서로 위하는 건 마찬가진데
P0 	: 정말 현실에서 그 문제를 논의하셨네요
P1 	: 사귄다는 행위가 약간 역할극같지 않느냐
P1 	: 말 한마디로 서로가 최우선이어야 하고 제3자를 배제할 권한이 생기는 게
P1 	: 약간 서로를 구속하는 계약같다
P0 	: 저는 사귀는면 좀 달라지는게 좀 24시간 연락하는거??같기도 햇는데 이건 사바사일거같아요
P0 	: 아 맞아요 서로가 최우선인 계약..
P1 	: 아 맞아요 말씀대로 24시간 연락해야 한다는 그런 관념
P1 	: 그게 옳은가를ㅋㅋㅋㅋㅋㅋ고찰해봤습니다
P0 	: 너무 숨막혀요 ㅋㅋㅋ ㅜㅜ
P0 	: 오 어떤 결과를 얻으셨나요
P1 	: 그 친구도 저도
P0 	: 논리적 추론에 따라 관계를 정리하신건가욬ㅋㅋㅋㅋ
P1 	: 사랑을 이분법으로 생각하지 않게 됐어요
P1 	: ㅋㅋㅌㅌㅋㅋㅋㅋㅋ녜 정리하게 됐어요
P1 	: 사귀자는 말 하나로 서로 죽고 못 살다가
P1 	: 헤어지면 철천지원수 되는 게
P1 	: 요상하다며
P1 	: 사랑과 우정을 구분하는 걸
P1 	: 없앤 것 같아요
P0 	: 헐!
P1 	: 우정: 좋아함
	  사랑: 무지 좋아함
P0 	: 감정이 아니라 논리를 따라간 관계군요
P1 	: 이거 아니냐며
P0 	: 그게 실현가능했다니 신기해요
