# FILE DATA
ID : MDRW2100011428
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 기타 사회 생활 및 활동>온라인 커뮤니티

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  4
contact_frequency  :  주 1~2회

P0 	: 윤오님은 커뮤니티에서
P0 	: 이상한 사람 본적 없었어요/
P0 	: ?
P1 	: 너무 많이 봐서 이제는 놀랍지도 않아요. (후비적)
P0 	: 으...
P0 	: 이상한 사람 많아요 정말 ㅜ
P1 	: 다자고짜 제가 이상형이라고 연애하고 싶다는 사람들도 있고, 본 적도 없고 친분도 없는 사람이 돈을 빌려달래요.
P1 	: 다짜고짜.
P0 	: 헐 얼마빌려달래요?
P1 	: 10만원이나;;;
P0 	: 헉 크네요
P0 	: 근데 또 안갚기는 적당한...
P1 	: 그래서 스마트폰 팔아서 돈 마련하시라고 대답하고 차단했어요ㅋㅋ 저 잘했죠?
P0 	: ㅋㅋㅋ 네 잘했어요 ㅋㅋ
P0 	: 중고 사면 십만원 정도 하더라구요 사봤어요 옛날에
P1 	: 푸하하. 그렇군요.
P1 	: 온라인 커뮤니티로 맺은 인간관계는 허상이라고 생각하시나요?
P0 	: 아뇨 하기나름이라 생각해요
P0 	: 허상인 사람은 허상이고요
P1 	: 오오! 저도요! 정말 동의해요!
P0 	: 전에 들은건데요 어떤 남자가 완전 컨셉충이더라구요 ㅋㅋ
P1 	: 푸하하. 그 남자가 어땠는데요?
P0 	: 연애로 이여자 저여자 들이대다가 다 알려져서 배척당하고 나니까 자기계발컨셉으로 변신해서 ㅋㅋ
P0 	: 연애컨셉일때 빌런짓한거 아는 사람은 싹다 차단라고 새 삶을 삼요 ㅡ 그걸 제가 들은거
P1 	: 앜ㅋㅋ 저도 그 남자 누군지 알 것 같은데요ㅋㅋㅋ
P0 	: ㅋㅋ아진짜요 ㅋㅋㅋ
P1 	: 네!ㅋㅋ 자기계발컨셉으로 변화를 꾀했다니까, 떠오르는 남자사람이 한명 있네요. 아닐지도 모르지만요ㅋㅋㅋ
P1 	: 그런데 지금 우리가 하는 이야기가 뒷담화일까요?ㅎ
P0 	: 힌트드리자면 ㅎ 으로 시작합니다
P0 	: 네 뒷담화같아요
P1 	: ㅎ, 초성을 지닌 남자라면 제가 생각한 인물과는 다른 사람입니다.
P0 	: 너무 많은가봐요
P1 	: 앞에서 못할 이야기는 뒤에서도 하지 말라는데, 그게 좀 쉽지 않네요. 누군가의 뒷얘기를 하는 게 가끔은 웃기고 재미있잖아요ㅋㅋㅋ 지금처럼요ㅎ
P0 	: 그죠 ㅋㅋㅋ
P1 	: 네ㅋㅋㅋ
