# FILE DATA
ID : MDRW2100036239
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네 계피향도 솔솔
P1 	: 고소하고 쫀득하고
P1 	: 원래 츄러스 좋아하거든요 ㅋㅋㅋ
P0 	: 으어어 ㅋㅋㅋ
P0 	: 저 한때 츄러스에 꽂혀서 한시간 걸어서 츄러스 사온적 있어요 ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 동생한테 산책하자고 핑계대면서 ㅋㅋㅋ 이쪽으로 가볼까? 목적지 조종하면서 ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ동생이 과연 전혀 모르고 따라갓을까요??
P0 	: ㅋㅋㅋㅋㅋㅋ제가 살짝 억지 좀 부리고...ㅋㅋㅋㅋ
P0 	: 저희집 근처에는 츄러스 파는곳이 없어요ㅠㅠ
P1 	: ㅋㅋㅋㅋㅋㅋ앗 동생도 내심 츄러스 먹고싶어서 모르는척 따라간건줄 ㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ전혀.. 그 때 제가 진짜 꽂혀있었어요 ㅋㅋㅋ
P0 	: 영화보러가도 츄러스먹고
P0 	: 그전엔 츄러스 별로 안좋아했거든요!
P0 	: 그땐 왜그리 맛있던지..
P1 	: ㅋㅋㅋㅋㅋㅋㅋ맞아요 저도 그런적잇어요 ㅋㅋㅋㅋ
P1 	: 전 찹쌀도넛에 꽂혀서 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 원래 찹쌀도넛을 그렇게 좋아하는 편이 아니엇거든요
P1 	: 그런데 어느순간 너무 맛잇어서 ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ 그것도 엄청 쫄깃쫄깃하죠!!
P0 	: 찹쌀도넛 안에 팥들어있는것도 좋아하세여??
P1 	: 네 팥 그닥 안좋아하는데 찹쌀도넛 안의 팥은 맛잇어요 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: &name1&님은요?
P0 	: 저도 ㅋㅋㅋㅋㅋ
P0 	: 저는 단팥빵도 좋아하고~ 찹쌀도넛안에 찹쌀이랑 팥도 맛있더라구요{emoji:♡}
P0 	: 쫄깃쫄깃
P0 	: 진짜 찹쌀빵은 누가 먼저 만들었는지..
P1 	: 전 원래 팥빵읗 그렇게 좋아하는 편이 아니엇는데
P1 	: 팥빵 맛잇는 집은 진짜 맛잇더라구요
P1 	: 제가 맛없는 팥빵들을 먹어왓던 거엿어요 ㅋㅋㅋㅋㅋㅋ
P1 	: 이성당 팥빵 먹어보고 깜짝 놀랏어요
P0 	: ㅋㅋㅋㅋㅋ맞아요!!! 저 진짜 맛없는 단팥빵 먹어봤는데..
P0 	: 진짜 세상퍽퍽....
P0 	: 진짜 팥 한알한알이 똑똑 떨어지는거 처음봣잖아요 ㅋㅋㅋㅋㅋ
P1 	: 그리고 팥 자체가 맛이 없더라구요 맛없는집은
P0 	: 맞아요.. 팥이 단맛도 안나고 니맛도 내맛도 아닌..
P0 	: 이성당 빵 맛있죠{emoji:♡}
P0 	: 이성당 빵은 진짜 기본빵부터 다 맛있어요{emoji:♡}
