# FILE DATA
ID : MDRW2100023769
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 카드 머쓰세요?
P0 	: 저그냥,,뭐더라
P1 	: 생각안하고 쓰시는구나?
P0 	: 국민 올림와이즈라는데
P1 	: 음 나쁘진 않네요?
P1 	: 얼마나와요?
P0 	: 많이쓸수록 좋은거라 ㅋㅋㅋ
P0 	: 카드값이요?
P1 	: 네네
P0 	: 달마다 200정도
P0 	: 엄마랑같이써요
P1 	: ㅎㄷㄷ...
P0 	: 아파트관리비고 뭐고 다 저카드로나가서 ㅋㅋㅋㅋ
P1 	: 님 월급 그대로 적금하고??
P1 	: 카드는 부모님꺼?
P0 	: 카드제껀디요 ㅋㅋㅋㅋㅋㅋ
P1 	: ???
P0 	: 토해내진않드라구여 연말정산때
P1 	: 3~400씩 버시나봐요
P0 	: 아뇨
P0 	: 적금은 100이상들어가는중
P1 	: 국민카드 쓰시면 굴비카드 받아놓으셨으려나
P0 	: 굴비요?
P0 	: 먼소린지모르겟 ㅜ
P1 	: ㅋㅋㅋ아는 만큼 보이는게 세상이니
P1 	: 굴비카드라고
P1 	: 국민카드는 연회비를 묶을수 있는 카드가 있는데
P0 	: 아
P1 	: 이 카드들은 메인 카드의 결제까지 같이 따라가서
P0 	: 카드여러개
P1 	: 메인카드 결제 금액만 3~50 이상이면 애들 혜택은 그낭 되는 애들
P1 	: ㅇㅇ 맞아요 카드 여러개
P1 	: 지금 뭐가 살아있으려나...
P1 	: 예전엔 이마트카드랑 CJ카드 살아있었는데
P0 	: 방금검색해봣는데 마지막이라는썰이잇네요
P1 	: CJ 하나 살아있네요
P1 	: 이거도 좋아요 올리브영 자주가심?
P1 	: 거기 묻따 10% 바로 할인인데
P0 	: 아뇨 그닥
