# FILE DATA
ID : MDRW2100004853
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기술직 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 여행좋죠ㅎㅎ
P1 	: 진짜 많이 갔었는데ㅎㅎ
P1 	: 최애장소가 어디에요?
P0 	: 매년 한번 해외가는게 낙이였는데
P0 	: 코로나땜에 작년부터 스톱이예요
P1 	: 글죠ㅠ 코로나때문에 여행이 엄청 힘들어졌죠
P1 	: 해외많이 가보셨나보네요ㅎ
P0 	: 마지막 간건 다낭인데 캄보디아도 좋더라구요
P1 	: 전 일할때, 휴가때 빼곤 거의 국내위주로 갔던것같애요ㅎ
P1 	: 안가봤는데 어때요?
P0 	: 운전을 못해서 국내는 기동성이 떨어져서 잘 못다녔어요ㅎㅎ
P1 	: 음식디랑 교통이 불편하지않으세요ㅡ?
P0 	: 현지가이드 초빙해서 친구랑 둘이다녔는데 편하고 좋아요
P0 	: 한국말도 잘하고
P1 	: 아ㅎㅎ 그렇게 가면 좋겟네요ㅎ
P0 	: 차로 다데리고다니니 우리가 원하는곳만가고
P1 	: 전 항상 즉흥적으로 가서ㅎ
P1 	: 가이드 있으면 좋조ㅎ
P1 	: 친구랑 둘이서 같이 가요? 여자둘이서요?ㅎ
P0 	: 네 여자둘이서 ^^
P0 	: 비용은 좀 더들지만 진짜 좋은기억만 있어서 추천이요
P0 	: 가족단위로도 그렇게 오더라구요
P1 	: 그렇군요ㅎ 나중에 저도 한번 계획없이 가봐야겟어요ㅎㅎ
P0 	: 앙코르와트는 진짜 꼭 가보셔요
P0 	: 일출 넘 멋져요
P1 	: 그럴께요ㅎ
P1 	: 여행진짜 좋아하시는군요ㅎ
P1 	: 너무 좋죠ㅎ 지금도 떠나고싶네요ㅍ
P0 	: 자주는 못가고 연중행사요ㅎㅎ
P0 	: 요즘 못가니 답답해죽을지경^^
