# FILE DATA
ID : MDRW2100019203
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 빈속에 커피가 안좋다구하더라구요
P0 	: 저는 다행히 위장이 강철인거같아요ㅋㅋ
P1 	: 네 자기전에도 안 좋고 빈속에도 안좋아요
P0 	: 저는 식습관 안좋은데 위내시경 결과가 좋아서
P0 	: 신기했어요 ㅎㅎ
P1 	: ㅠㅠ 유전자 뽑기운이네요 췟
P1 	: 내장도 근육도 다 유전자 뽑기운이 반이상인 것 같아요
P0 	: 거진다 유전이라고 봐야져ㅜㅜ
P0 	: 운동은 하고있는거 있으신가요?
P1 	: ㅠㅠ 네 유전을 극복하고자 노력하고 타고난 몸을 잘 관리하고자 다들 노력하니깐
P1 	: 지금은 안해요 그러나 해야겠단 생각만 하고 실천을 안하니 괴롭네요 ㅋㅋ
P1 	: 하루에 스트레칭만 두번해요 ㅋㅋㅋ&name1&님은요?
P0 	: 저는 숨쉬기운동해요ㅋㅋ
P0 	: 피티 등록하러가고싶은데
P0 	: 자꾸 퇴근하면 침대에서 못벗어나겟어요
P1 	: 저도 그런 맘이라 맨날 데드버그 운동만 해요 데드버그 자세를 아시나요?
P0 	: 오오
P0 	: 검색해밧어요
P1 	: 전 아침에 일어나기 싫을때 일어나기 싫어를 외치며 그 자세를 휘적휘적 10번하고 일어나요,, 운동까진 아니지만,,
P0 	: 부지런하세요
P0 	: 영양제는 드시나요?
P1 	: 비타민 유산균을 먹어요 ㅋㅋㅋ &name1&님은요?
P0 	: 저는 유산균!
P0 	: 꾸준히챙겨먹는거 잘안되요
P0 	: 생각나면 먹어요
P1 	: 저도 좀 그렇긴 한데 전 홈트하면 꼭 먹어요 저 혼자 홈트하는데도
P1 	: 물마시러 가니깐 잠깐 쉴수 있다 이런 생각이 들어서 ㅋㅋㅋㅋ
P1 	: 물마시는 척 하며 딴짓을 하거든요,, 냉장고서 물을 천천히 꺼낸다거나,, 그러면서 영양제도 먹어요,,, 싸이버 홈트쌤에게 물마시는거거등요!!!! 라고 변명하며,,,
P0 	: ㅋㅋ데드버그 명심!!
