# FILE DATA
ID : MDRW2100019794
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아 그럼 자연산이랑은 맛이 많이 다를까요?
P0 	: 자연산 먹어봤는데 기분탓인지 맛있긴 했어요
P0 	: 근데 전에 허영만 식객 보니
P0 	: 횟집 사장님들 여럿 모아 양식과 자연산 테스트를 했는데
P0 	: 반이 못 맞췄대요ㅎ
P0 	: 사실상 반반 확률인데
P0 	: 생각하면 양식이 더 기름져서 취향따라 나뉠 수도요ㅎ
P1 	: 아 진짜 취향에 따라 다르겠네요ㅋㅋ 반이 못 맞췄다니 그럼 그냥 둘 다 맛있는걸로..
P1 	: 산낙지는 좋아하세요?
P0 	: 없어서 못 먹죠ㅎㅎ
P0 	: 개불도 좋아해요
P0 	: &name2&님도 산낙지 드시나요?
P1 	: 저 산낙지 진짜 좋아해요 근데 개불은 먹어본적이 없네요
P1 	: 개불은 식감이랑 맛이 어때요?
P0 	: 잘게 채썰어 먹는데 꼬들꼬들한 식감이에요
P0 	: 오독오독하고 해산물 특유의 은은한 단맛이 있고요
P0 	: 향은 별로 없어요. 비린 맛도 전혀
P0 	: 전 개불인거 모르고 먹어서 정체 알고 놀랐죠ㅎ
P0 	: 좀 비싼게 단점인데ㅜ 해산물 좋아하시면 강추해요!
P1 	: 비린맛이 없고 꼬들꼬들하다니 나중에 꼭 먹어봐야겠네요 전 물컹거릴줄 알았어요
P1 	: 혹시 초밥도 좋아하세요?
P0 	: 없어서 못 먹죠ㅎ
P0 	: 해산물은 다 좋아해요
P0 	: &name2&님은 무슨 초밥 좋아하세요
P1 	: 저도 초밥은 진짜 다 좋아해요
P1 	: 근데 그중에서도 소라초밥... 쫄깃쫄깃한게 너무 좋아요
P0 	: ㅎㅎ 소라 숙회로도 너무 맛있어요
P0 	: 때론 전복보다 더 생각나네요
P1 	: 아 맞아요 숙회도 너무 좋죠 다슬기도 좋고요..
P0 	: 다슬기는 어떤 식으로 주로 드시나요?
P1 	: 근데 너무 어렸을적이라 맛은 잘 기억이 안나요 맛있었다는것만 기억나고ㅋ기
P0 	: ㅎㅎ 다슬기국이었나...? 분명 맛있었는데
P0 	: 가물가물하네요
