# FILE DATA
ID : MDRW2100031127
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 이 주제는 많이 말 안해본 것 같아
P0 	: 해야할 집안일 있?
P1 	: 가사..?
P1 	: 집안일은 매일 있져
P1 	: 매일 해도 매일 생겨
P0 	: 집안일에 많은 협조를 하는편인지 ㅋㅋㅋㅋ
P0 	: 주로 어떤거 해?
P1 	: 객관적으로 봐도 많이는 아닌것 같은데
P1 	: 하면 청소기 돌리기 빨래널기 수건개기 밥짓기 설거지...
P0 	: 다 하고 있는거 아냐?
P1 	: 거의 다 하긴 하네
P1 	: 근데 매일 저걸 다 하는건 아니니깐ㅋㅋㅋㅋ
P0 	: 역시 밥 얻어먹으러 가야한다
P0 	: 감자떡 만들때 부터 알아봤어
P1 	: 오시등가
P1 	: 와볼테면 와바라
P0 	: 허... 진짜 갑니다?
P1 	: ㅋㅋㅋ
P0 	: 아주 겁이 없구만
P0 	: 막 오라구 그러고
P1 	: 뭐왜뭐
P1 	: 와서 구세즈 델꼬 가
P0 	: 흐엉.. 가서 진짜 먹을거 다 털어먹어야지
P0 	: 전에 긱사 쓸때 음식 이것 저것 시켜볼것을
P1 	: 내줄수 있는건 굿즈뿐..
P0 	: 이익....
P0 	: 룸메이트를 장장 3년 이상하고도
P0 	: 내줄수 있는게 저거라니 ㅠㅠ
