# FILE DATA
ID : MDRW2100005101
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오늘 제가 사는 지역은 오전에 비가 엄청 많이 내렸어요
P1 	: 요즘 너무 더워서 비가 그렇게 반갑더라고요 ㅋㅋ
P0 	: 저희 지방은 요즘 저녁마다 비가 내리던데
P0 	: 늦은 장마인가봐요
P1 	: 가을장마라고 하더라고요 아직 너무 더워서 그냥 여름같아요 ㅋㅋ
P1 	: 비 좋아하세요?
P0 	: 소리는 좋아하는데
P0 	: 이동할 땐 싫더라고요
P1 	: ㅋㅋ 다들 비 좋아하냐고 하면 똑같은 대답이더라고요
P1 	: 근데 저도 그래요
P1 	: 야금야금 젖는 그 느낌이 짜증나요 ㅋㅋ
P0 	: 다들 그런가봐요
P0 	: 요즘 계속 가뭄이라 비가 오긴해야하는데 뭔가 이동시간 피해서 오면 좋을텐데 말이죠
P1 	: 맞아요... 늦은 밤~새벽 아니면 내가 안나가는 날 ㅋㅋㅋㅋ
P0 	: 마자요 ㅠ
P0 	: 심지어 요즘 일기예보도 안맞으니깐 계속 우산도 계속 들고 다니네요
P1 	: 아 맞아요 일기예보가 최근들어 너무 안맞는 느낌...?
P1 	: 우산... 들고 다니기 너무 귀찮아요...
P0 	: 저도 동감 ...
P0 	: 이상기후가 진짜 맞나봐요
P1 	: 그쵸... 지구온난화가 실감나고 너무 무서워요ㅜ 이제는 늦었다고 막 그러니까
P0 	: ㅠㅠㅠ 맞아요 그리고 막 환경오염 안 하려고 노력해도 개인이 해결할 수 있는 부분도 아니고
P1 	: 맞아요... 아무리 우리가 노력해도 땅 넓은 나라에서 분리수거도 안하고 쓰레기 마구 버리면 말짱 도루묵이니까 조금 힘 빠지기도 하고요
P1 	: 그래서 선택적 비건 하긴 하는데... 고기도 자주 많이 먹어서ㅜㅜ 도긴개긴 그런 느낌이에요... ㅋㅋㅋㅋ
P0 	: 아이구
P0 	: 엄청 노력하시는 군요!
P0 	: 저도 분리수거는 열심히하는데 기상이변진짜....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 이미 늦었다는 말이 너무 무서운 거 있죠
P1 	: 그렇다고 죽을 순 없잖아요...
P1 	: 캐나다 54도인가 찍은 거 보니까 두렵더라고요
P0 	: 아 맞아요
P0 	: 우리나라도 30년 전엔 가장 더울때가 28도란 소리 듣고
P0 	: 오존층이랑 빙하 사라지면 우린 어디서 살지 이러고 고민되더라니깐요
P1 	: 그땐 진짜 가만히 있으면 안더웠겠어요 28도면
P1 	: 그러니까요... 북극곰 바싹 마른 사진 보니까ㅠㅠ 너무 미안하더라고요...
P0 	: ㅠㅠㅠ 그러니깐요 지난번엔 거북이 빨대 코에 박힌거 하며
P0 	: 역시 기상이변을 줄이려면 환경보존이 더 필요할 지도 모르겠어요
P1 	: 인간이 제일 못됐어요...ㅠㅠ
P1 	: 좀 땅덩이가 큰 나라들도 앞장서서 신경썼으면 좋겠는데
P1 	: 그런... 분리수거 문화? 가 자리잡진 않은 것 같더라고요
P0 	: 외국 보면 플라스틱 그냥 버리긴 하더라고요ㅠㅠㅠ
P1 	: 겨울, 여름에 서양 쪽에 타격이 컸으니까 좀 달라지려나요
P1 	: 근데 마스크 안쓸 자유 외치는 거 보면 달라지지 않을 것 같기도 해요^^;
P0 	: 서양쪽은 기상이변이 환경문제라고 생각 안하는 거 같아서....
P0 	: ㅠㅠ
P1 	: 와 어떻게 그럴까요?
P1 	: 기상이변을 환경문제랑 떼어놓고 볼 수가 있나...? 이렇게 위협적인데요
P1 	: 알다가도 모를;
P0 	: 미신이랑 비슷한 느낌으로 생각하는 거 같아요
P1 	: 띠용 미신이라니
P1 	: 조금 훙미롭네요...
P0 	: 안녕히주무세요!!
