# FILE DATA
ID : MDRW2100034028
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: &name2&님 점심 뭐 드실예정이세용?
P1 	: 저는 회사안에서 먹어서 백반밖에 못먹어요ㅠ
P1 	: 가끔 나가서 먹으면 좋은데 그러기도 애매해요ㅠ
P1 	: &name1&님은 뭐 드실건가요?
P0 	: 저는 죽 먹을 예정이에욧 헉...
P0 	: 반찬...반찬이 중요하죠.백반은..
P1 	: 마자요ㅠ 반찬이 중요하죠ㅠ
P1 	: 아프셔서 드시는건가요?ㅠ
P0 	: 네ㅠㅠ 식도염때문에요ㅠㅠㅋㅋㅋㅋㅋㅋㅋ
P0 	: 백신맞았다고 아무거나 막 먹었더니 속이 탈났네요!ㅜ
P1 	: 에구ㅠ 그럼 저녁도 죽인가요?ㅠ
P1 	: 식도염 많이 아프실텐데ㅠ
P0 	: 아뇨...저녁엔...
P0 	: 파스타...먹을거예요. 속을 버립니다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 히히
P1 	: 아ㅋㅋㅋㅋ속 대신 맛을 선택하셨군요ㅋㅋ
	  파스타 맛있겠네요! 무슨파스타 드시려구요?
P0 	: 저 빠네요~~~~! 빠네 너무 좋아요!!!!!!!!!!!!
P0 	: 핏짜도 먹을겁니다 히히
P1 	: 오! 파네 맛있죠ㅠ 오호 피자까지!
	  너무 맛있겠네요ㅠ
P1 	: 빠네면 가서 드시는건가요?
P0 	: 아뇨!! 포장이요!
P0 	: 코로나이후 식당가서 음식을 못 먹겠더라고요ㅠㅠ
P1 	: 마자요 식당가면 불안하더라구요ㅠ
	  집이 최고죠!
P0 	: 맞아요ㅠㅠㅠㅠㅠㅠ
P0 	: 배달하면 용기가 너무 많이 드니까...
P0 	: 포장으로 하려고요!ㅋㅋㅋㅋ 플라스틱 아웃...!
P1 	: 오! 마자요! 배달용기도 진짜 문제에요
	  저도 웬만하면 포장하려고 하는데 쉽지 않더라구요ㅠ
P0 	: 하 맞아요ㅠㅠ 가서 기다리는 것도 좀 버겁고요 그쵸!?!?!?!
P1 	: 마자요ㅠ 용기 사이즈 맞는걸로 챙겨가야되고 기다려야되고ㅠ
	  그치만 환경 생각도 해야되니까 노력하고있어요
P0 	: 하 맞아요ㅜㅜㅜㅜ
P0 	: 사람들이 조금씩 용기내서 했으면 좋겠어요
P0 	: 좀 불편하긴 하지만..ㅜ
P1 	: 마자요ㅠ 이제 진짜 모두가 실천해야할때 인거같아요ㅠ
