# FILE DATA
ID : MDRW2100001913
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 요즘 무슨 스포츠 챙겨보시는지
P1 	: 요즘 배구에 빠졌네여
P1 	: 김연경선수 너무 멋있음
P0 	: ㅋㅋㅋㅋㅋ 김연경 언니 멋짐
P0 	: 김희진 선수도요
P1 	: 김희진선수도 멋있지
P1 	: 올림픽 일본전 봤음?
P1 	: 소름이아쥬
P0 	: 대한민국 국민이라면 당연핰
P0 	: 정말 잘하더라 우리 선수들
P1 	: 메달없어도 충분하지
P1 	: 다른경기 또뭐봄
P0 	: 양궁이랑 펜싱
P0 	: 배드민턴 ㅋㅋㅋㅋ
P0 	: 메달권만 봄
P1 	: 크 양궁은 쩔었지
P1 	: 배드민턴은 조 잘 만날라고 지는싸움도하던데
P1 	: 태권도도 센서로 하니까 노잼됐고
P0 	: 배드민턴 우리나라 선수들끼리 동메달 결정한거 봤다
P0 	: 10월에 배구 리그 열린다그래서
P0 	: 티켓팅 할까봐
P1 	: 크 실제로 보면 더 대단하지
P1 	: 요즘 코로나라 관중없이 하는거아님?
P0 	: 일부는 공개 안하나??
P0 	: 야구도 일부는 받잖아
P1 	: 그런가?
P1 	: 관계자아냐?ㅋㅋ
P0 	: 아니지 관객이야 ㅋㅋㅋㅋ
