# FILE DATA
ID : MDRW2100034158
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저녁은 뭐 드세요?
P0 	: 저 ㅋㅋ
P0 	: 전 배달시켰어요
P0 	: 제가 전을 너무 좋아해서
P0 	: 근데 하고 나니 저번주 전은 배달료
P0 	: 2000원인데 여긴 4000원 ㅜㅜ
P0 	: 잘못 시켰네요
P0 	: 뭐 드세요?
P1 	: 전 배달 시키셨구나~ 어제 야채전 해먹었는데 ㅎㅎ 저는 오늘 자녁에 식빵 테두리 튀겨서 설탕 뿌려 먹었어~ 감자샐러드 만들어서 샌드위치 할때 테두리 다 잘라놔서 남았거든요
P0 	: 오 저도 식빵 테두리 튀긴거 가끔해요
P0 	: 정말 딸이 좋아해요 ㅎㅎ
P0 	: 샌드위치까지 넘 맛난 저녁인데요
P0 	: 감자 샐러드 저도 좋아하는데
P0 	: 한번 해먹어야 겠네요
P1 	: 이모께서 농사 지으시는데 저번에 하지감자를 몇박스 보내주셨어요
P0 	: 너무 맜있겠어요
P0 	: 농사 지으신거면 감자 진짜 실하고 맛나겠어요
P0 	: 넘 감사하네요
P1 	: 요즘 싹 나려고 하길래  빨리 먹으려고 감자쪄서 으깨서 샐러드 만들었죠
P0 	: 싹리 요새 습해서 더 빨리나요
P0 	: 아까워라
P0 	: 주말에 팍팍드세요
P0 	: 감자샐러드 굿입니다
P1 	: 세박스나 받아서 먹는다고 먹는데도 그러네요
P0 	: 식빵에 끼워서 먹어도 짱이고
P0 	: 그럼 어쩔수 었어요
P0 	: 다먹시 힘들죠
P0 	: 저희엄마는 썩여서 감자떡 하던데
P0 	: 냄새가 ㅜㅜ
P0 	: 못견뎌요
P0 	: 밋은 짱입니다
P0 	: 맛은
P0 	: 냄새와 별개로 감자떡 별미 더라구요
P0 	: 저희도 외삼촌이 감다 농사라 엄마가 싹나려하면 하시더라구요
P0 	: 감자
P1 	: 감자떡.. 그렇군요.. 감자떡도 생각해봐야겠어요.. 이제 한박스 남았는데 썩기 전에 부지런히 먹으려구요
P0 	: 네 부지런히 드세요 ㅎㅎ
P0 	: 이게 산게 아니라 더 신경 쓰이죠
P0 	: 저도 엄마가 농산물 주시면 그렇더라구요
P1 	: 맞아요.. 왠지 버려지면 너무 아까워요.. 엄마가 농사지으시면 이것저것 만이 주시겠어요.. 감자 말고도요
P0 	: 네 많이 주셨는데 몸이 안좋아지셔서 이제 농사 안하세요
P0 	: 이제 생각하니 더 소중했네요
P1 	: 아이고.. 몸이 안좋아지셨구나.. 저는 친척중에 큰이모만 농사를 지으세요.. 그래서 오만가지를 다 보내주시는데.. 곧 여든이신데도 계속 농사를 지으시네요
P0 	: 네 암수술 하셔서요
P0 	: 아 건강하시네요
P0 	: 연세가 많으신데 대단하세요
P0 	: 감사하네요
