# FILE DATA
ID : MDRW2100039897
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 경기
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  기타>그 외 사회적 관계
intimacy  :  3
contact_frequency  :  주 1~2회

P0 	: 이번주에 서울에 비 많이 왔어?
P1 	: 이번주에는 많이왔어
P1 	: 화수는 엄청왔는데
P1 	: 오늘은 완전맑음
P1 	: 그쪽은 비왔어???
P0 	: 아 우리도 화수는 비오고
P0 	: 오늘은 맑더라
P0 	: 오늘 날 덥지않았어??
P1 	: 낮에는 햇빛이 뜨거웠는데
P1 	: 생각보다 덥지않았어ㅋ
P1 	: 습하지않으니깐 너무좋더라
P0 	: 아 ㅁㅈㅁㅈ 바람이 은근 시원하고
P0 	: 딱 쾌적해 ㅋㅋㅋㅋ
P1 	: 근데 밤에는 은근 춥더라
P1 	: 바람도 많이 불고
P1 	: 가디건 챙기게 되는 날씨
P0 	: 밤에 창문 열고 자??
P1 	: 살짝 열어놓았는데
P1 	: 약간 감기 기운생겨써
P1 	: 너는???
P1 	: 창문닫고자???
P0 	: 나도 열고자
P0 	: 닫으면 더워서 ㅋㅋㅋ
P1 	: 맞아 답답하기도하더라구
P1 	: 울집은 산이 근처라
P1 	: 개구리 같은 벌레소리 들려
P1 	: 이골이라
P1 	: 시골이라서
P0 	: 서울 속 시골이라니
P0 	: 아주 귀한곳인데요
P0 	: 가을이라 귀뚜라미 소리 들리겠다 이제
P1 	: 맞아 귀뚜라미
P1 	: 요즘 들리구있어요
P1 	: 너무시끄러워요
P0 	: 아고ㅠㅠㅠ
P0 	: 애들이 빨리 겨울잠을 자야 조용해질텐데요
