# FILE DATA
ID : MDRW2100041616
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: ????
P1 	: 시나리오 희곡 대본
P0 	: 아
P0 	: 그러면소설도함?
P1 	: 그렇기도 한대
P1 	: 데
P1 	: 대신 그 외에 거에 더 집중함
P0 	: 아
P0 	: ㅇㅋㅇㅋ
P0 	: 이해함
P1 	: ㅇㅇㅇㅇ
P1 	: 대학생활에서맘 진로를 소설가하고
P1 	: 졸업하면 다시 바꿀까
P1 	: 좋은 생각인디
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아
P0 	: 팀플하나피하려고
P0 	: 눗기넨ㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅌㅌㅌㅌㅋㅋㅌㅌㅌㅋㅋㅋㅋㅋㅋㅌㅌ
P0 	: 근데팀플은그만큼
P0 	: 짜증나긴함
P1 	: ㄱㄴㄲ
P1 	: 진심 내가 하면 나만 알아서 하면 되는데
P0 	: ㅇㅇㅇㅇ
P0 	: 그니까
P1 	: 다른 사람이랑 하면 그거 또 기다리고 아지구먄
P0 	: 그리고
P0 	: 다른사람이못하면
P0 	: 나까지피해ㅏㄷ음
P1 	: ㅇㅈㅇㅈ
P1 	: 그게 제일 싫어
P1 	: 그렇다고 버스타는 거 보는 것도 싫어
P0 	: 친한사람끼리해도
P0 	: 문제생기는데
P0 	: 안친하면
P0 	: 욕도못하고
