# FILE DATA
ID : MDRW2100020626
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 무섭다기보다는
P0 	: 일단 남주를 볼때마다 병크가 생각나고
P0 	: 스토리 자체가 좀 찝찝~하고
P0 	: 기분 나쁘고 그래요ㅠ
P1 	: 아 맞아요 병크 터졌죠
P1 	: 이런 그렇군요 ..
P1 	: 근데 왜 그렇게 인기가 많았었던 걸까요 ??
P0 	: 병크있으면 전 집중을 잘 못하는 타입이라ㅠㅠㅠ
P0 	: 그러게용
P0 	: 스토리가 되게.. 좀 불편하다고 해야할까용
P1 	: 맞아요 저도 병크터지면 집중 못해요 ...
P0 	: 근데 작가인가 감독인가 보는 사람으로 하여금 불편함을 느끼게 하는게
P0 	: 의도라고 하더라구요
P1 	: 아 .... 아 .....
P0 	: 성공?ㅋㅋㅋ했네요
P1 	: 그럼 그 의도가
P1 	: 그렇네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저 기생출 볼 때도 살짝 그런 느낌이었어요
P1 	: 어머 기생충이요
P0 	: 아하ㅠㅠ
P0 	: 어쩐지
P0 	: 기생충 그거
P0 	: 초반에 보다가 음... 하고 껐는데
P0 	: 이것도 그런류인가바여
P1 	: 비슷한 결일 것 같네요
P1 	: 근데 기생충은 쓸데없이 야시꾸리한 장면들이 들어가있어요
P1 	: 그래서 굳이 이걸 넣었어야싶나 궁금했는데
P0 	: 그 소파에서...
P0 	: 읍읍...
P1 	: 감독 인터뷰를 보니까
P1 	: 네네 ...
P1 	: 그것도 그렇고
P0 	: 그 장면을 어찌어찌하다가 클립으로...봤어요...ㅋㅋㅋㅋ
P1 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
