# FILE DATA
ID : MDRW2100006885
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 축구본거
P0 	: 보러
P0 	: 유럽가고싶다요
P0 	: 스위스도
P0 	: 궁금하고
P1 	: 맨유스폰서  나이키로 바껴야함
P0 	: 파리도
P0 	: 가고싶다요
P1 	: 로또 1등 고고요
P1 	: 그럼 간다요
P0 	: 방콕
P0 	: 마사지
P0 	: 조아유
P1 	: 코로나임
P1 	: 조심요
P0 	: 신혼여행
P0 	: 어디가고
P0 	: 싶나여
P1 	: 유럽요
P1 	: 님은,
P0 	: 저도 유럽
P1 	: 맛난거있나요
P0 	: 글쎄요
P0 	: 다맛잇을듯
P1 	: 피자
P0 	: 피자 굿
P1 	: 고르곤졸라
P0 	: 네네
