# FILE DATA
ID : MDRW2100027466
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 단순 노무 종사자
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저 박은빈 배우 완전 좋아해요!
P0 	: 아 그 박은빈 배우가 남장하는 그라마!
P0 	: 그건가요!?
P1 	: 맞아요맞아요!
P0 	: 앗 그거라면 저도 기대중이에요 ㅎ.ㅎ !!
P0 	: &name2& 셒구 최애곡이 뭔가요?!
P1 	: 돌고돌아 요ㅜㅜ
P1 	: 모닝콜까지해놨는데 아직도 화가 안나요
P1 	: 너무좋아요ㅋㅋㄱㅋ
P1 	: 꼭 들어보세요
P0 	: 아니 모닝콜인데 화가 안 난다고요!?!??!
P0 	: 대박 전 최애 곡 해놔도
P0 	: 화나서 바꾸걸랑요
P0 	: 들어보겠습니닷 ㅎ.ㅎ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ감사합니다
P1 	: 저도 몇번 바꿨는데 지금 반년정도?해놓은거같은데 아직 화가 안나네요...
P1 	: ㅎㅎㅎㅎㅎㅎ
P0 	: 전 그 노래 좋아했어요!! 맘마미아랑 질렀어!!
P1 	: 질렀어!!!!!
P1 	: 맘마미아는 저도 셒구알기전에 알던노래였어서
P1 	: 입덕하고 반가웠어요ㅋㅋㅋㅋ
P1 	: 혹시 킹덤보셨나요?
P1 	: 셒구 거기 나왔었는데
P0 	: 헛 ㅠ 아니요!!!!! 무대만 조금 봤어요 그
P0 	: 왕비? 그 무대는 봤어요!
P1 	: 태양이 나온거!!!!
P1 	: 그룹무대 질렀어 더스틸러 무브 숨 했거든요
P1 	: 맨첨에 6위했는데 무브때 1위했어요ㅠ
P0 	: 아 저 무브 생각해보니까 유태양 직캠 봤어요 제 친구가
P0 	: 유태양에 완전 미쳐서
P0 	: 저 잘때까지 직캠 보여줬거든요
P1 	: 잘때까짘ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 유태양 무브 유명해져가지고ㅋㅋㅋㅋ킹덤무대직캠중에 탑5위안에 들어갔대요ㅋㅋㅋㄱㄱㅋ
P0 	: 헐!!!!! 대박!!!!!!!!!!!!!
P0 	: 솔직히 그럴만한 무대였어요
P0 	: 저 보통 5번 이상 보면 화내는데
P0 	: 그 영상은 조용히 봤거든요!
