# FILE DATA
ID : MDRW2100023518
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 대전
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 좋아하는 에피 있으신가요?!
P1 	: 저는 무인도 에피가 계속 기억에 남아요
P1 	: 아무래도 그거 때문에 코코넛에 대한 환상이 생겨서 그런가 ㅋㄱㄱㄱㅋ 지코 마시고 충격 받았다니까요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아놔
P0 	: 저도욬ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저 코코넛보고 헐 저게 저렇게 맛있구나???! 싶어거 지코 사먹었는데 아...사람을 굶기면 그게 맛있구나....
P0 	: 싶어지더라고요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저 그 생활계획표 편도 엄청 좋아해요ㅋㅋㅎㅎ
P1 	: 진짜요 ㅋㄱㄱㄱㄱㄱㄱ제정신이 아닐때 되어서야 맛있게 느껴질거 같아요
P1 	: 오 그건 기억 안 나는데 함 봐야겠어요!!
P0 	: ㅋㅋㅋㅋㅋㅋㅋ 저 편도 재밌어요! 정준하랑 유재석의 행동이 웃기더라고요 ㅋㅋㅋㅋㅋ
P0 	: 런닝맨 중에서는 그걸 좋아해요 그 양세찬이랑 이도현이 그 얘기한거 ㅜㅜㅋㅋㅋ 형의 여자친구는 내여자친구?<이거요
P1 	: 아 이도현 너무 웃긴거 같아요 ㅋㄱㄱㄱ큐ㅜㅠㅜㅠㅜ
P1 	: 조세호는 돌덩이 처음에 봤을때 웃겨죽는줄 알았어요 ㅋㄱㄱ큐ㅜㅠㅜㅠ
P0 	: 맞아요ㅋㅋㅋㅋㅋ조세호는 돌덩이 세찬이 형여자친구는 내 여자친구<ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아무것도 모른다는 표정이 진짜 웃기더라고요?!
P1 	: ㅋㄱㄱㄱㄱㄱㄱㄱㅋ 예능천재입니다 정말,,.!!!
P0 	: 맞아요!!!!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 또 보시는 예능 클립 있으신가요?!?!?
P1 	: 유퀴즈온더블럭은 알고리즘에 뜨면 가끔 봐요!!
P0 	: 아하,,, 그럼 놀면 뭐하니는 안보세요?!
P1 	: 아직 그게 무슨 이야기를 하는지 모르겠어요 ㅋㄱㄱㄱㄱ큐ㅜㅜㅠ
P1 	: 친구랑 정준하 나온거 봤었는데 이게 이렇게 매번 꽁트를 하는건지
P1 	: 그 라붐 노래 부른거도 이 프로라고하고
P1 	: 이렇게,,.뒤쳐집니다,,.,.!!!!^^!!!!!!
P0 	: ㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아! 그거 꽁트 하는 거 맞아요!!! 약간 컨셉을 주마다 잡는다고 생각하면 되는...?
P0 	: 그런거예요!!!!
P1 	: 아 맞아요???! ㅋㄱㄱㄱㄱㄱㅋㅋ
P1 	: 아직,,.뒤쳐지진 않았나봐요~^.^ㅋㄱㄱㄱㅋ
