# FILE DATA
ID : MDRW2100045369
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안 맵고 하얗고 면 요리에 면이 가늘은 요리
P0 	: 김가루는 안 들어간다구요?
P1 	: 엇 안들어 갔던 걸루 기억해옇ㅎㅎ
P0 	: 아아아아 무슨 요리지ㅋㅋㅋㅋ
P0 	: 계란이 들어가나요?
P1 	: 계란 안들어가요! 이건 진짜 확실 합니다
P1 	: 어렵죠 일단 프랜차이즈라도 맞춰보실래요?
P1 	: 배달한거에요!
P0 	: 으아악 무슨요리지
P0 	: 중식 집인가요?
P1 	: 한식집이라고 분류는 되어있는데 분식 같기도 해요
P0 	: 분식..!
P0 	: 혹시 잔치국수?!
P1 	: 비슷해요~~완전 근데 이게 그 프랜차이즈 만의 메뉴일걸요 ? 아닌갛ㅎㅎ
P0 	: 혹시 면이 질긴가요????
P1 	: 오 좀 그런편이라구 생각해용
P0 	: 혹시 쫄면?!
P1 	: 국물있는 요리에용~~~!! 하얗구
P0 	: 아악 뭘까요 혹시 칼국수?
P1 	: 아녀!! xx국수에요!
P0 	: 혹시 초계국수?!?!
P1 	: 앗 따뜻한국물이에영
P0 	: 멸치국수???
P1 	: 약간 그런 느낌이에요!!
P0 	: ㅋㅋㅋㅋㅋㅋ온갖 국수 이름 다 나오겠어요 ㅋㅋㅋㅋ
P0 	: 혹시 지역 특산물인가요?
P1 	: ㅋㅋㅋㅋ악 아니에여 초성 힌트 드릴게용
P1 	: ㅅㅁ국수 에요!
P0 	: 와 좋아요
P0 	: 그 이름이 들어가는 재료 이름인가요?
P1 	: 오 맞아용 완전 주 재료 이름이에용
P0 	: 시옷미음 국수 으으으음
